source,economic_source,tokens,transactions,recipients
outside_wallet_inventory,0x7fc565d6745aab2d0d45cb95f749a2d105c7b88c,22.812116216985622,1,1
outside_wallet_inventory,0xf8709567d1312c660e5f638a8c6e82657799c4ac,22.53272411210245,1,1
outside_wallet_inventory,0x86f8ff6ab98cf511b48bc4e29aacacd05e05d967,22.365846922782453,1,1
outside_wallet_inventory,0xcdd202d90db7a72712e6186e9542a2f0bde29b3f,22.119338028139193,1,1
outside_wallet_inventory,0x3f666cbf8b2440e2447f7780e501728cdae882ec,22.05467027569214,1,1
outside_wallet_inventory,0x9d5e3798b8dcc13aa457e3bcc15bd99a3f4a17a4,22.034421598808198,1,1
outside_wallet_inventory,0x4f92999f3746a34efdbac7227a6640ea776745e2,21.846076905941686,1,1
outside_wallet_inventory,0x62d28baddc06b01432982099a76231676e060e81,21.437812213467623,1,1
outside_wallet_inventory,0xe36f225f049f5540988d451b1d0b161a3dd5a2c5,21.34887806596123,1,1
outside_wallet_inventory,0xa3330236ef218f50c866ad34095f62cf23b56c55,20.42052516755691,1,1
outside_wallet_inventory,0x5b17f31b206a32a4bb66a584590b638cf7f91fae,19.81130268064573,1,1
outside_wallet_inventory,0x1abd545ca8250b9f89fddaf77daa2c429acbaf93,19.761613019477146,1,1
outside_wallet_inventory,0x8b7d0f3d55dc7d171cb9cacb090801462765d1ee,19.620172208606085,1,1
outside_wallet_inventory,0x05fc1c99bb6f9ed82bf329a73645c9d360c392fc,19.33562782783497,1,1
outside_wallet_inventory,0x4ef16e673281f0f529ae6bd5ed375f19c94d69ff,18.918648941596636,1,1
outside_wallet_inventory,0x1dbf61a0398894a634617dd46dcc1a6589a512bb,18.884142578636247,1,1
outside_wallet_inventory,0xaf2b277cadd6213d63bd9aaba47dde8ed768eab0,17.766863945001866,1,1
outside_wallet_inventory,0x6a1f8d7ce5a548c27186bd50aaa8995da32dd809,15.76454887557739,1,1
outside_wallet_inventory,0x06e4750d591758c9cb06927c98c3a7f21abbf10c,15.071430891175602,1,1
outside_wallet_inventory,0xc4d8c7cb58643e673f4ce545789ceba92236dd4d,14.981594041600001,1,1
outside_wallet_inventory,0x65fd495c0f767563c2b95bc289630421f226481e,14.493834854066248,1,1
outside_wallet_inventory,0x7338e0f39f914ba77716550515439d9b4c8c3760,13.127729534052337,1,1
outside_wallet_inventory,0x13de0e5344a5c4ddf857240c3a73591429ce9ebf,12.854806216668836,1,1
outside_wallet_inventory,0xbe7a6e80f19b242c109dc71d1b86238862b5d86d,12.675899518286485,1,1
outside_wallet_inventory,0xd69c0c1f6774e790524db2fe34ccd176f557985d,12.2488121703,1,1
outside_wallet_inventory,0x49740435645b0b991faa92f44beaf62d99e4c4b9,12.007979971859397,1,1
outside_wallet_inventory,0xe4e0048dd1a4ba5097851b32b6765963dd38e8c3,11.339821845300001,1,1
outside_wallet_inventory,0xe7be571b4bddad935bbd586050cfafba67e3b725,10.901471554964637,1,1
outside_wallet_inventory,0x4cc563f67f2596c6cf88e1f6edee134c5618eff5,10.777097764916155,1,1
outside_wallet_inventory,0x5849706185db8313b4a5a53da27d04888191883a,10.428954188442265,1,1
outside_wallet_inventory,0xd824dcb2c8a860eaa57153144955df76c352e8df,10.011559296852521,1,1
outside_wallet_inventory,0x09f853022bfce41ba91a2f1ec4f905801cef5f35,10.0,1,1
outside_wallet_inventory,0x72c03da5328b4e0bbd2a55582761920e14a52c9f,8.818109954417379,1,1
outside_wallet_inventory,0x0a8c6f56bafdd35dd1ed38c328307ad2cc0ddd7f,8.29861501983937,1,1
outside_wallet_inventory,0x6a8894946d22de70067dad03add6396f1af23f24,6.600355830834706,1,1
outside_wallet_inventory,0xa8e31bb0c478da110066a33020be1daa64225543,6.463781886348824,1,1
outside_wallet_inventory,0x0e75e9c88037bb81fc4297bcafe51fae5d3f1481,5.491921838504031,1,1
outside_wallet_inventory,0x53a4523b19f409e2d256b18b7d2797941a59f191,5.332577439923733,1,1
outside_wallet_inventory,0xb403519271264648ee4829911803220a540853c3,4.618117484179669,1,1
outside_wallet_inventory,0x874fa2618ce1412c6dbd1550d7dc9ad1f548e83d,4.152268228544538,1,1
outside_wallet_inventory,0x1416a4f604bc544fdfe0b56dda5704a38a1073a6,4.074069087657732,1,1
other_custody_output,0x8366a39cc670b4001a1121b8f6a443a643e40951,2.155676720988444,2,1
outside_wallet_inventory,0x879bc6f607f1c4080528e4382562152ea92bbd91,1.9895496069248764,1,1
outside_wallet_inventory,0x9bd82b2d3dc3c939f20a52ada028b06bc79e2498,1.6262073490071642,1,1
outside_wallet_inventory,0x3d25ff668ea1918256c4c911a5cbde61378e8d99,1.0122518009527213,1,1
outside_wallet_inventory,0xeca7e46dad52536132b36fea2673100154d8c844,5.969499999999994e-14,1,1
