case,seed,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,buyback_ETH
Speculative recovery,2,30.632505171655907,1415.1440520197712,248515.06887304343,11,146.0,149079.81367649965,3465577.4188521127,203672.2308920473,28.16132113571918,2137.267598034871,319.4894589374842,1269.8359050192703,1711.939406793216,1244.7518534353894,9584500.077819528,523,121.29511725079863,97.3053718521349,788979.8888558829,0.0
Speculative recovery,3,32.19863857103495,1157.2534076601937,253211.64471976855,14,146.0,148839.89881339148,3429799.5289110234,239732.73659407347,34.741278887218506,2109.87151407643,324.65837258171393,1358.078973560274,1692.082437938803,1017.4447533028734,7680806.913099501,502,101.44802699678972,72.89241355648127,533469.2644668135,0.0
Replacement selling accelerates,0,53.92769904378259,1533.4087541927559,609357.0017408483,50,53.0,66470.45109466261,128672.16383191169,146132.56338772923,10.832425944749348,353.858880453932,0.8369314253878234,323.75788781083753,312.3314487784216,1264.0043234188015,23123343.242512066,2862,37.07968411055576,169.47446910442392,3230119.7781201736,0.0
Replacement selling accelerates,1,55.02153706149673,1647.7846122922754,632655.3229838413,79,60.0,53829.893463697736,188617.53482633742,287725.68878210336,24.857597476819862,267.33784930565855,3.9461341462226667,380.1951301117005,237.50649424781827,1318.5643999619701,26015573.02833848,2889,6.4834979104238,224.76513690008804,4342563.468897312,0.0
Replacement selling accelerates,2,54.69124530914437,1590.2824005788598,614628.0388503167,56,56.0,56279.080073079895,61242.60481862395,153841.5002746731,11.722929923927621,307.44887552693064,4.643351596201126,386.0831734490652,263.2388679795537,1262.9591289967982,24594793.510972213,2916,34.11819287473598,224.92355425562172,4198482.804934982,0.0
Replacement selling accelerates,3,53.25230342756949,1538.9747995247264,593284.4002681653,42,65.0,59938.65203792221,132690.96818977,104605.53390775621,5.087021299429687,310.4990892454438,6.025605685616681,345.7319641080478,260.75177869191634,1229.0698509917029,23135908.828632455,2826,44.97139967553105,210.48340111973135,3880963.4606329454,0.0
Owner executes buybacks,0,54.81542628072213,1647.6895152405375,610270.8928776679,48,46.0,39716.972068992814,339660.54192444414,425074.01704516634,41.74411519743382,1356.427354128982,314.16656528399443,668.8416034294154,856.7205189345644,1421.0448215070928,17108974.269561335,1275,71.31473632353413,122.39858199550778,1550761.4371119458,100.16360929004912
Owner executes buybacks,1,51.94452392293126,1777.1394180571451,599557.6861272358,42,72.0,61687.448134524864,836831.2691092946,689658.5756509416,68.42445902880193,1472.5843051460058,319.12726822514696,764.4321421636514,920.3023691006337,1393.3022646759014,17426500.616071418,1251,95.14506221609828,278.57844691659966,3559225.123594298,99.63788749667468
Owner executes buybacks,2,48.4626784660546,1111.9615132252395,549480.1436457105,37,146.0,162777.2642867928,3013704.142891323,642225.4557439834,64.66151797002814,1253.2964978916625,301.4857458053719,690.4317676229465,763.770413275358,897.2446648242753,11134481.441965576,1285,49.36016215379463,132.89532453815534,1692975.9383925884,99.59613823591803
Owner executes buybacks,3,51.97981762784744,1090.005774390143,589136.7804012729,40,146.0,159928.62627571204,3183423.4574441626,475399.4148902334,47.058137117181275,1359.362120776478,362.6902822247908,607.7945557422156,829.2488186001764,806.4387279002319,10774617.847983457,1288,48.33505221490564,198.887055630361,2536738.369650816,99.77191471690344
