hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,owner_spec_buy_ETH,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens
3.75,0.15625,2026-09-16T06:42:33+00:00,0.00013603466155609958,0.4305793344029394,67870672.87662783,6374.1568912774255,1198,1416569.749023604,111.7189937774005,2373.4544132407605,2835.4362584080245,0.0,0.1406862247222307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.68270004047705,0.0,11.459905315402604,18.370979633139843,0.13646563798056377,1053.3859276416883,0.693,1.0,0.0,0.0
4.0,0.16666666666666666,2026-09-16T06:57:33+00:00,0.00013811769939623523,0.4524851549694755,68080343.81342569,6360.981452943903,1198,1423861.4156902703,111.7189937774005,2374.046861490511,2864.4662226458004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.029964237776884,0.0,16.446974154003268,29.622412487527427,0.0,0.0,0.0,0.0,0.0,0.0
4.25,0.17708333333333334,2026-09-16T07:12:33+00:00,0.000140038213917509,0.4726818339197296,68269059.54434605,6366.499626286601,1198,1431153.0823569372,111.7189937774005,2374.5879885191903,2890.97693649467,0.0,0.0018261361847180522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.51253998505463,0.0,32.570014220246996,27.053612229647584,0.0017713520991765107,13.353292663625501,0.0,1.0,0.0,0.0
4.5,0.1875,2026-09-16T07:27:33+00:00,0.00014217917543879292,0.4951967964525512,68474904.85276051,6357.42513242416,1198,1438444.749023604,111.7189937774005,2375.1868536271813,2920.3160965306006,0.0,0.0021175123965804232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.341277548327117,0.0,20.86353128148168,29.611785599105826,0.0020539870246830106,15.233956011012197,0.328293531840218,0.0,0.0,0.0
4.75,0.19791666666666666,2026-09-16T07:42:33+00:00,0.000143839441489775,0.5126566281967297,68631346.9627614,6345.236987246358,1198,1445736.4156902707,111.7189937774005,2375.648873603403,2942.9147118434494,0.0,0.016341506869139266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.61495681971817,0.0,10.872490111266831,22.514193692835768,0.015851261663065087,115.17397860912833,0.5622928578970587,3.0,0.0,0.0
5.0,0.20833333333333334,2026-09-16T07:57:33+00:00,0.00014471527911318646,0.5218671866677287,68712749.1376712,6337.960496800307,1198,1453028.0823569372,111.7189937774005,2375.919424496841,2954.7891517066314,0.0,0.5597384272541603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.434178290436952,0.0,4.86850031057046,12.68793703105811,0.5429462744365355,3923.8917368086613,0.0,2.0,0.0,0.0
5.25,0.21875,2026-09-16T08:12:33+00:00,0.00014648151915488698,0.5404414711504355,68874735.49163488,6322.787575555961,1198,1460319.749023604,111.7189937774005,2376.420266909944,2978.617772430706,0.0,0.2885253109270707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.117146035001863,0.0,9.15654189283232,24.601943059863512,0.27984737752436556,2011.9724894038984,0.007389628913896162,2.0,2.2174074892973294e-05,0.15941827087700589
5.5,0.22916666666666666,2026-09-16T08:27:33+00:00,0.0001475376863150027,0.5515484265076442,68970217.27211104,6320.169954019939,1198,1467611.4156902705,111.7189937774005,2376.710221735757,2992.796444317537,0.0,0.011787278554493241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.190459165385704,0.0,11.851005176622786,11.5963886222109,0.011433660197858443,81.11230247395387,2.8836717506316543,1.0,0.0,0.0
5.75,0.23958333333333334,2026-09-16T08:42:33+00:00,0.00014805598816266304,0.5569990366959892,69015971.77773842,6323.156384296762,1198,1474903.0823569372,111.7189937774005,2377.390818633176,2999.8434042124522,0.0,10.648699626983671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.695659521898715,0.0,10.713987069157858,18.040296367428823,8.341650100976073,58824.723266287496,0.016499063080068502,4.0,1.9875885371980848,14006.76725216383
6.0,0.25,2026-09-16T08:57:33+00:00,0.00014846985620202793,0.5613513911438379,69052641.30273695,6318.14469340735,1198,1482194.7490236037,111.7189937774005,2377.705973627961,3005.4162116138355,0.0,3.9958653210842385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.568672722467841,0.0,0.8762715067566414,6.79395175762025,3.875989361451711,27245.569617440426,2.9699999999999998,5.0,0.0,0.0
6.25,0.2604166666666667,2026-09-16T09:12:33+00:00,0.0001492233910540027,0.5692757787569382,69119269.12046729,6316.033851948664,1198,1489486.4156902707,111.7189937774005,2378.089049650153,3015.50494588037,0.0,3.5149760408344264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.603710307370106,0.0,8.360968830041537,13.881337048336842,2.2354014287726023,15591.155245941445,0.0,3.0,1.1741253308367914,8193.958842515842
6.5,0.2708333333333333,2026-09-16T09:27:33+00:00,0.00015034073941894936,0.5810261331293967,69217410.42042288,6325.376150756842,1198,1496778.0823569372,111.7189937774005,2378.4530931972904,3030.37748537143,0.0,1.2006454731476879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0731849642076,0.0,24.578881846375328,16.40120914715061,0.47420596178588764,3287.1993742998097,0.0,2.0,0.6904201471673695,4793.465922871766
6.75,0.28125,2026-09-16T09:42:33+00:00,0.00015114333008921403,0.5894664057314773,69286881.3464074,6319.00007657623,1198,1504069.7490236037,111.7189937774005,2378.972153846665,3041.0764402414,0.0,5.965593906614231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6645487765848,0.0,4.84194133873121,16.999631602045085,5.379840989027438,37105.18795857382,0.0050100067149164,4.0,0.4067851003883652,2804.177564879984
7.0,0.2916666666666667,2026-09-16T09:57:33+00:00,0.00015186889948421545,0.5970967006158161,69349123.410404,6315.9279914198105,1198,1511361.4156902703,111.7189937774005,2379.4967002586577,3050.733739814913,0.0,6.496143568486332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.15344314199963,0.0,7.109760829088532,13.599433496306744,6.301259261431742,43390.37601076802,2.8836717506316543,6.0,0.0,0.0
