case,seed,ending_price_return,peak_return,hindsight_peak_hours,hindsight_peak_utc,branches_end,licenses,retired,license_fresh_ETH,game_prefund_ETH,spec_buy_ETH,spec_sell_ETH,buyback_ETH,branch_sell_ETH,new_capital_ETH
Owner executes buybacks,1,-0.16732547473273207,0.14878764209764261,21.75,2026-09-17T00:42:33+00:00,1183,72,42,68.42445902880193,319.12726822514696,1015.4474313167319,1671.880711592501,99.63788749667468,51.94452392293126,764.4321421636514
Owner executes buybacks,2,0.07171804473720345,0.1543155304412469,22.75,2026-09-17T01:42:33+00:00,1262,146,37,64.66151797002814,301.4857458053719,813.1305754291526,1030.1399893624307,99.59613823591803,48.4626784660546,690.4317676229465
Owner executes buybacks,3,0.14470188039529552,0.14470188039529552,24.0,2026-09-17T02:57:33+00:00,1259,146,40,47.058137117181275,362.6902822247908,877.583870815082,1005.325783530593,99.77191471690344,51.97981762784744,607.7945557422156
Crowded bank-exit expectations,0,-0.5848445086018292,0.0,0.0,2026-09-16T02:57:33+00:00,792,56,417,1.6360146545768117,0.15882940553223784,371.87567316390164,1459.4588202926398,0.0,67.00261762913439,734.27636908068
Crowded bank-exit expectations,1,-0.56521793064254,0.0,0.0,2026-09-16T02:57:33+00:00,780,46,419,0.5700776775066441,0.0,251.87275875075272,1300.2499318052014,0.0,66.77388761471248,727.542071917137
Crowded bank-exit expectations,2,-0.5417173829300634,0.0,0.0,2026-09-16T02:57:33+00:00,783,46,416,0.9297787479457247,0.7450557680800078,316.68033828908347,1308.8476742624493,0.0,67.22965789920302,664.0571829622636
Crowded bank-exit expectations,3,-0.5189460330369988,0.0,0.0,2026-09-16T02:57:33+00:00,795,61,419,1.3455218842603522,0.6622310601057027,278.04991602587444,1222.5688854538769,0.0,67.41544432234897,626.8997298306163
No branch expansion,0,-0.14735377751248935,0.05289636682045851,22.0,2026-09-17T00:57:33+00:00,1125,0,28,0.0,0.0,919.9512069464517,1090.9784268299295,0.0,46.01035664452628,744.8663083344534
No branch expansion,1,-0.007897567839648345,0.0,0.0,2026-09-16T02:57:33+00:00,1115,0,38,0.0,0.0,1010.3038952062836,913.9038322446637,0.0,50.90167802179332,774.9403115765932
No branch expansion,2,-0.3445437870917205,0.0,0.0,2026-09-16T02:57:33+00:00,1116,0,37,0.0,0.0,321.86499235382365,928.3645490007573,0.0,47.982274240985596,664.2837022294653
No branch expansion,3,-0.3262919812244276,0.0,0.0,2026-09-16T02:57:33+00:00,1115,0,38,0.0,0.0,435.0362573440446,992.4251003253194,0.0,50.88777930638156,677.6010865656423
No new outside capital,0,-0.3358531759792266,0.03921305624135574,1.25,2026-09-16T04:12:33+00:00,1196,70,27,56.344717017273645,83.31659324654778,160.86494840913596,891.0049611257532,0.0,46.36596867167819,0.0
No new outside capital,1,-0.46813036019941656,0.0,0.0,2026-09-16T02:57:33+00:00,1211,97,39,88.70953673571266,84.32700174267407,168.99497963762013,1193.9448144558758,0.0,46.772760756417256,0.0
No new outside capital,2,-0.34841645487180173,0.051240120735307704,1.25,2026-09-16T04:12:33+00:00,1188,72,37,69.89121478807658,110.21623836890019,48.90777748932332,848.3055603765137,0.0,49.12075434889361,0.0
No new outside capital,3,-0.36752577244857176,0.05213820516758805,1.5,2026-09-16T04:27:33+00:00,1217,102,38,79.82404640300247,131.04929116506366,150.83677578109936,1008.6598014576455,0.0,51.771919157987064,0.0
