hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,spec_buy_ETH,buy_pool_ETH,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,game_prefund_ETH
2.5,0.10416666666666667,2026-09-16T05:27:33+00:00,7.751232790590959e-05,-0.18485823248856748,59292320.11602023,7268.940698633207,778,549454.3297763303,111.7189937774005,2369.8571408693942,1812.1560557405812,0.0,11.798648821166125,0.0,0.0,4.092690456474286,11.330804270312678,151682.9727979284,38.0,0.11388508621846086,1521.7179713949442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75,0.11458333333333333,2026-09-16T05:42:33+00:00,7.646942970618957e-05,-0.19582564767039767,59000869.70445468,7297.144235968857,778,556745.996442997,111.7189937774005,2370.523564576307,1789.9419321767855,0.0,22.214123563795738,0.0,0.0,6.655837478768482,14.080474623783136,190450.1547682375,41.0,7.4672252330987385,101000.2567973144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.125,2026-09-16T05:57:33+00:00,6.721487527512038e-05,-0.29314918394232736,56124622.25488001,7503.441360512928,778,564037.6631096636,111.7189937774005,2376.6479197235,1585.7967606037007,0.0,204.14517157308478,0.0,0.0,8.276308118179326,194.4222337964871,2824929.6941559967,28.0,3.5985826294051706,51317.75541866684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.25,0.13541666666666666,2026-09-16T06:12:33+00:00,6.715068617693735e-05,-0.2938242148227235,56105835.75454228,7512.251280287392,769,564245.3688746041,111.7189937774005,2376.69181701964,1584.3335173990188,0.20740783821009243,1.4632432046819304,3213.5358583428942,9.0,7.390573865922217,0.7714371475800931,11959.711809201097,26.0,0.4405009227512869,6826.788528538184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.14583333333333334,2026-09-16T06:27:33+00:00,6.686940797244755e-05,-0.29678221671693283,56009057.80535911,7524.077106956821,769,571537.0355412709,111.7189937774005,2376.884423914873,1577.913287557928,0.0,6.420229841090759,0.0,0.0,5.5982037235712205,5.995204816821815,93170.45954538237,39.0,0.23241812903622078,3607.4896377836844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.75,0.15625,2026-09-16T06:42:33+00:00,6.658633320693797e-05,-0.29975911175968606,55911043.26647358,7530.534486197696,769,578828.7022079374,111.7189937774005,2377.07867043146,1571.4384036716308,0.0,6.474883886297221,0.0,0.0,0.17674187116631776,6.260282441380505,97696.9333797088,37.0,0.020354928327801645,317.6055058181007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.16666666666666666,2026-09-16T06:57:33+00:00,6.488576171052235e-05,-0.31764280707393944,55308952.944845796,7573.901643597535,769,586120.3688746041,111.7189937774005,2378.254070789565,1532.2583917348043,0.0,39.18001193682653,0.0,0.0,5.362545821117903,10.571088157355302,166474.78963414018,34.0,27.43352342136644,435615.5319936492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.25,0.17708333333333334,2026-09-16T07:12:33+00:00,6.397117176336639e-05,-0.3272608960439658,54976906.44821641,7598.844213861778,765,590110.8872810536,111.7189937774005,2378.892263823026,1510.9852906193487,0.09213958135653,21.273101115455574,1478.7801567476777,4.0,4.307662182251038,18.982039457024168,306950.14490724367,41.0,1.5607290436112133,25096.35172213927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.1875,2026-09-16T07:27:33+00:00,6.381322953479667e-05,-0.3289218616069831,54918584.46876602,7607.679743821047,765,597402.5539477202,111.7189937774005,2379.002935431005,1507.2962370200908,0.0,3.6890535992579316,0.0,0.0,5.257147967987731,3.4937011925701307,56941.48669747507,32.0,0.08468079871006239,1380.4927529219237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.75,0.19791666666666666,2026-09-16T07:42:33+00:00,6.338979720263672e-05,-0.33337479688815963,54761153.126106784,7640.266830443639,765,604694.220614387,111.7189937774005,2379.300316071224,1497.3835490127124,0.0,9.912688007378392,0.0,0.0,22.971779255436125,9.469941263458006,155044.7697093484,28.0,0.1453661036990343,2386.57294987883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
