hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens
5.75,0.23958333333333334,2026-09-16T08:42:33+00:00,9.206935991252092e-05,-0.03177232834705379,61679583.718084335,7082.0710747226785,1182,1138771.2228927487,111.7189937774005,2369.7906268285365,2109.925589747378,0.0,23.61171480835901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195662451137453,0.0,19.316476424468224,216850.83437657752,26.0,0.0,3.5868869396400167,40504.06890222074
6.0,0.25,2026-09-16T08:57:33+00:00,8.932904030531582e-05,-0.06059031160869566,61079548.3560673,7137.404178709865,1182,1146062.8895594152,111.7189937774005,2371.406797430989,2056.0532363323327,0.0,53.87235341504538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.076921174592239,0.0,52.256182498572294,600035.3583609943,28.0,0.0,3.1402171771333084e-07,0.0036560456459431598
6.25,0.2604166666666667,2026-09-16T09:12:33+00:00,8.062953744765129e-05,-0.15207676708549966,59100215.41124812,7308.923980819251,1173,1006629.2847646208,111.7189937774005,2376.7049712241565,1879.4474432267891,10.485268393777282,176.60579310554363,122605.09505651843,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21218279700895154,0.0,160.82235091860002,1979332.944819178,21.0,0.0,0.0,0.0
6.5,0.2708333333333333,2026-09-16T09:27:33+00:00,8.01052481931297e-05,-0.15759034255360782,58962788.37057038,7321.763404050307,1173,1013920.9514312875,111.7189937774005,2377.0329956721116,1868.5132949616436,0.0,10.934148265145495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.233299413864407,0.0,9.710738498213729,125859.25263122955,21.0,0.0,0.8953853189773986,11567.788046511758
6.75,0.28125,2026-09-16T09:42:33+00:00,7.925442006659377e-05,-0.16653789401606445,58736890.9374309,7355.385128193065,1173,1021212.6180979538,111.7189937774005,2377.567572464765,1850.6940685399256,0.0,17.819226421717985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.33707451369093,0.0,16.130956084566492,210894.33707687198,23.0,0.0,1.1536935444999494,15003.096062602091
7.0,0.2916666666666667,2026-09-16T09:57:33+00:00,7.876996081629644e-05,-0.17163260578957729,58606655.784927234,7373.1059758450265,1173,1028504.2847646207,111.7189937774005,2377.873188919313,1840.506853388317,0.0,10.187215151608598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.839248954902174,0.0,7.646532882588476,100766.99501501276,20.0,0.0,2.235065814471864,29468.157488656514
7.25,0.3020833333333333,2026-09-16T10:12:33+00:00,7.753617131929089e-05,-0.18460748834692942,58340984.74453794,7403.904528326742,1164,941681.1357814302,111.7189937774005,2378.6557605619787,1814.4211319660849,5.398498008778586,26.085721422232155,71488.22276479167,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.495402702150627,0.0,19.550501182836033,260916.59942795747,27.0,0.0,0.35415058795057575,4754.4409613375165
7.5,0.3125,2026-09-16T10:27:33+00:00,7.729093537434451e-05,-0.1871864595508853,58273012.983368754,7425.919792928773,1164,948972.8024480967,111.7189937774005,2378.81203985205,1809.211822297025,0.0,5.209309669059849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.96223422304163,0.0,5.053030378988053,67971.7611691891,24.0,0.0,0.0,0.0
7.75,0.3229166666666667,2026-09-16T10:42:33+00:00,7.65298580916414e-05,-0.1951901655186442,58059989.71406265,7442.343386390741,1164,956264.4691147634,111.7189937774005,2379.298629909284,1792.9921537225994,0.0,16.21966857442567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905149447761036,0.0,12.68770199826595,171636.48672453398,25.0,0.0,3.0453765189269415,41386.78258157096
8.0,0.3333333333333333,2026-09-16T10:57:33+00:00,7.60419033460088e-05,-0.20032163691895322,57921741.550151855,7457.899385204399,1164,963556.13578143,111.7189937774005,2379.6118558965813,1782.5512874793776,0.0,10.440866243221762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.428358557731619,0.0,5.409847116778733,73843.9420422582,18.0,0.0,4.717793139146375,64404.22186853416
8.25,0.34375,2026-09-16T11:12:33+00:00,7.525033098814631e-05,-0.20864603780244184,57694623.29493183,7477.293197872643,1164,970847.8024480966,111.7189937774005,2380.1221131525026,1765.5427122820215,0.0,17.008575197356095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8954947268091864,0.0,15.474216430723995,213036.7624915482,21.0,0.0,1.0241015107114209,14081.49272847612
8.5,0.3541666666666667,2026-09-16T11:27:33+00:00,7.5062957867102e-05,-0.21061650703228618,57640336.9509219,7482.932016716526,1164,978139.4691147633,111.7189937774005,2380.243288448138,1761.5035357607503,0.0,4.039176521271202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.720817618250645,0.0,1.5387160186300408,21306.040312809604,26.0,0.0,2.3792852070030244,32980.303697118565
