case,seed,ending_price_return,peak_return,hindsight_peak_hours,hindsight_peak_utc,branches_end,licenses,retired,license_fresh_ETH,game_prefund_ETH,spec_buy_ETH,spec_sell_ETH,buyback_ETH,branch_sell_ETH,new_capital_ETH
Replacement selling accelerates,3,-0.5140107079367704,0.0,0.0,2026-09-16T05:40:47+00:00,1149,13,63,7.265161943491352,54.0869064801539,448.07815225133965,1510.3656480336513,0.0,55.97176977090518,389.75603807976375
Owner executes buybacks,0,0.03175495315428578,0.41554476565749954,22.0,2026-09-17T03:40:47+00:00,1253,100,46,3.198276024622095,329.8199336086447,1056.509663964173,1292.4951278984138,100.54971381001975,50.86959077884863,1115.0929915556071
Owner executes buybacks,1,0.1753890577070505,0.5098134990072729,22.25,2026-09-17T03:55:47+00:00,1251,100,48,13.004563885938296,272.1843408525326,1303.939478890319,1247.335456281402,100.39005109116223,50.44085025114555,1165.5185425451257
Owner executes buybacks,2,-0.12911297748660266,0.3675192604173396,19.5,2026-09-17T01:10:47+00:00,1204,100,95,21.426435697675885,298.2640790888621,968.4630650199488,1493.729426900625,100.22591605636079,61.8190647968341,999.8161316847315
Owner executes buybacks,3,-0.09725112693688875,0.4272880152896572,20.25,2026-09-17T01:55:47+00:00,1216,100,83,6.85047796490418,325.8608978568127,1215.2681854657533,1680.0620154354583,100.48399572477516,57.242805389515944,1320.1340334787824
Crowded bank-exit expectations,0,-0.5369855050181065,0.0,0.0,2026-09-16T05:40:47+00:00,754,0,445,0.0,0.06992166931108212,93.03363182031462,1153.3021422960342,0.0,73.73560006184387,1162.0739641702417
Crowded bank-exit expectations,1,-0.569211747809922,0.0,0.0,2026-09-16T05:40:47+00:00,755,0,444,0.0,0.0,96.26360771796078,1231.9313230854605,0.0,73.9567136080677,1049.143622934985
Crowded bank-exit expectations,2,-0.4510716908707768,0.0,0.0,2026-09-16T05:40:47+00:00,762,7,444,8.006613738448223,4.321522832004067,316.7911291923976,1184.8866439012222,0.0,73.59165128981758,1212.9407049715585
Crowded bank-exit expectations,3,-0.4970600304850967,0.0,0.0,2026-09-16T05:40:47+00:00,761,17,455,19.44726534773133,0.0,506.22292870128683,1470.862136676099,0.0,72.8136917886857,958.5444209628264
No branch expansion,0,-0.16289362313570188,0.20191813697190986,21.5,2026-09-17T03:10:47+00:00,1140,0,59,0.0,0.0,1314.6665819734394,1499.7171423103546,0.0,54.51898791524924,816.2842400280985
No branch expansion,1,0.22092944950483528,0.22092944950483528,24.0,2026-09-17T05:40:47+00:00,1152,0,47,0.0,0.0,1300.6405102847566,812.9047765252743,0.0,49.817070557340635,1176.6366408819501
No branch expansion,2,0.14320474617275414,0.14320474617275414,24.0,2026-09-17T05:40:47+00:00,1155,0,44,0.0,0.0,1086.8287238127234,731.9829345582245,0.0,48.210172339303064,1016.039071251988
No branch expansion,3,-0.33304122591343266,0.23304247357872043,17.75,2026-09-16T23:25:47+00:00,1138,0,61,0.0,0.0,1230.464656468687,1787.0671835436453,0.0,53.24506217059058,1098.2901500525388
No new outside capital,0,-0.12061060988233474,0.014500275303443777,0.25,2026-09-16T05:55:47+00:00,1249,100,50,66.57395535305798,360.2997450174686,320.91040088245495,883.7314877899352,0.0,52.03266163111532,0.0
No new outside capital,1,-0.3160653096155034,0.0023304998046278502,0.5,2026-09-16T06:10:47+00:00,1250,100,49,74.22634603223663,101.22000100860208,93.6548337976541,845.867190927052,0.0,51.32746546328856,0.0
No new outside capital,2,-0.2594583195825032,0.012951960370815918,0.5,2026-09-16T06:10:47+00:00,1250,100,49,54.248581056698875,161.59854780514738,192.20254591513051,852.9392031534778,0.0,50.346825307251024,0.0
No new outside capital,3,-0.12025251092126332,0.0,0.0,2026-09-16T05:40:47+00:00,1257,100,42,80.96321645416542,329.46856325444304,354.3962911360976,903.3402112285626,0.0,47.752923519834795,0.0
