hour,event,charter_id,count,gross_tokens,resolution_fee,price_tokens,internal_tokens,wallet_tokens,fresh_tokens,elapsed_days,timestamp_utc
20.0,license,870,,,,26679.812401582407,0.0,2876.1607021375276,23803.65169944614,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,146,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,778,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,60,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,332,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,207,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,621,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,379,,,,26679.812401582407,0.0,8241.37952265719,18438.432878933847,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,275,,,,26679.812401582407,-9.913492249324918e-09,0.0,26679.81240159273,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,565,,,,26679.812401582407,-6.188201950863004e-09,0.0,26679.81240158528,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,917,,,,26679.812401582407,-2.4629116524010897e-09,0.0,26679.81240158528,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,630,,,,26679.812401582407,1.2623786460608244e-09,0.0,26679.81240157038,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,823,,,,26679.812401582407,-8.62200977280736e-10,0.0,26679.81240158528,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,51,,,,26679.812401582407,1.2005330063402653e-09,0.0,26679.81240157783,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,150,,,,26679.812401582407,1.0277290130034089e-08,0.0,26679.81240157038,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,870,,,,26679.812401582407,1.2623786460608244e-09,0.0,26679.81240157783,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,146,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,778,,,,26679.812401582407,0.0,18271.133449487337,8408.678952097893,0.8333333333333334,2026-09-17T01:40:47+00:00
21.0,license,171,,,,22628.81850251414,71.48692810457516,2903.9982619611656,19653.33331245929,0.875,2026-09-17T02:40:47+00:00
21.0,license,373,,,,22628.81850251414,71.48692809466166,0.0,22557.33157441765,0.875,2026-09-17T02:40:47+00:00
21.0,license,225,,,,22628.81850251414,71.48692809838695,0.0,22557.33157441765,0.875,2026-09-17T02:40:47+00:00
21.0,license,789,,,,22628.81850251414,71.48692810211224,0.0,22557.3315744102,0.875,2026-09-17T02:40:47+00:00
21.0,license,715,,,,22628.81850251414,1282.687755486838,21346.130747027302,0.0,0.875,2026-09-17T02:40:47+00:00
