hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,spec_buy_ETH,buyback_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH
4.25,0.17708333333333334,2026-09-16T09:55:47+00:00,0.00010183795876585087,-0.01879867581334327,63370554.125372894,7033.587614145021,1173,1133065.6033207253,79.24913780751007,2383.913050154522,2298.927365443707,10.084993655427851,16.560168129537487,103001.92249888019,6.0,2.9674759912408817,9.194972863365328,13.716295392308744,5.241127859246775,53676.88140513662,14.0,0.0,6.415149379540064,0.7372415709767346,7555.717939394122,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.1875,2026-09-16T10:10:47+00:00,0.00010084738129004858,-0.028342817730027114,63185362.748410255,7059.6134362283965,1173,1140357.2699873918,79.24913780751007,2384.47044744309,2280.347455824711,0.0,18.579909618996226,0.0,0.0,0.0,0.0,8.00330975294913,14.07761965812294,144602.21747167394,19.0,0.0,0.0,3.944892672303399,40589.15949095692,0.0,0.0,0.0,0.0,0.0,0.0
4.75,0.19791666666666666,2026-09-16T10:25:47+00:00,0.0001005867149245659,-0.030854319198459046,63136222.899747185,7084.539170832371,1173,1147648.9366540585,79.24913780751007,2384.617439168918,2275.447731630421,0.0,4.8997241942897745,0.0,0.0,0.0,0.0,20.17300213551391,4.752573701350443,49138.2092399105,1.0,0.0,0.0,0.00015876711063810944,1.6394231617573818,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.20833333333333334,2026-09-16T10:40:47+00:00,0.00010049775857819106,-0.03171140712437159,63119404.6186043,7086.845837155916,1173,1154940.603320725,79.24913780751007,2384.670076650075,2273.774658925196,0.0,1.721582705225046,0.0,0.0,0.0,0.0485099999999999,0.6862310994771772,1.2207767807010304,12645.284529887105,11.0,0.0,0.0,0.44915844336726424,4650.566443378448,0.0494999999999999,0.0,0.0,0.0,0.0,0.0
5.25,0.21875,2026-09-16T10:55:47+00:00,0.00010053157216656043,-0.0313856156603084,63084957.52602498,7094.082268309428,1170,1137273.068716832,72.8752813170487,2384.978667688807,2274.4762837040857,2.0663915862401745,5.837787902412401,21423.6765026786,3.0,0.0,6.539412681302134,1.8727904806711153,3.5962626790998535,37336.78875878236,7.0,0.2990135925,6.373856490461361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.22916666666666666,2026-09-16T11:10:47+00:00,0.00010041567985033919,-0.032502229696149465,63063023.00599788,7142.945999791369,1170,1144564.7353834982,72.8752813170487,2385.0478807189247,2272.2959831120597,0.0,2.25576480479549,0.0,0.0,0.0,0.07546421276950915,46.752643920034345,2.1880918606516255,22677.757239004357,13.0,0.0770042987443971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.75,0.23958333333333334,2026-09-16T11:25:47+00:00,0.00010052755970062357,-0.03142427547771065,63083685.51238009,7143.84798673942,1170,1151856.402050165,72.8752813170487,2385.2393080458037,2274.452355004161,0.0,2.9245211032102816,0.0,0.0,0.0,5.08089299531153,3.249786167030032,2.8367854701139725,29429.010631849505,6.0,5.1845846890933975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.25,2026-09-16T11:40:47+00:00,0.00010005229224430308,-0.03600344284453405,62993516.67259261,7165.8132819744715,1170,1159148.0687168317,72.8752813170487,2385.507885171993,2265.499784131182,0.0,8.952570872978868,0.0,0.0,0.0,0.0,13.28130148826232,4.160870875377178,43151.01016771697,12.0,0.0,0.0,4.523122871412324,47017.8296197573,0.0,0.0,0.0,0.0,0.0,0.0
6.25,0.2604166666666667,2026-09-16T11:55:47+00:00,9.966545404500116e-05,-0.039730600753047685,62857087.68003017,7188.590235811029,1170,1166439.7353834985,66.52894083137605,2386.066905111778,2258.265080658241,0.0,14.018898996929238,0.0,0.0,0.0,6.784195523988578,9.754929817728627,12.986979735360288,135615.88476095427,12.0,0.5763080081932428,6.346340485672653,0.6113522916610736,6400.722873696359,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.2708333333333333,2026-09-16T12:10:47+00:00,9.865795593254229e-05,-0.049437771772972816,62662671.3900384,7210.2943658448885,1170,1173731.4020501655,66.52894083137605,2386.639473673032,2239.17946194978,0.0,19.08561870846097,0.0,0.0,0.0,0.0,3.191079886653048,18.433024058617534,193571.730442927,14.0,0.0,0.0,0.08002608858960684,844.559548830944,0.0,0.0,0.0,0.0,0.0,0.0
