strategy,hours_since_first_receipt,at_risk,first_sales,descriptive_survival
recent_buyer,6.5,170,0,0.8730767517195692
recent_buyer,6.75,170,1,0.8679410061212188
recent_buyer,7.0,167,0,0.8679410061212188
recent_buyer,7.25,167,0,0.8679410061212188
recent_buyer,7.5,167,0,0.8679410061212188
recent_buyer,7.75,167,0,0.8679410061212188
recent_buyer,8.0,167,1,0.8627437545875588
recent_buyer,8.25,166,0,0.8627437545875588
recent_buyer,8.5,166,0,0.8627437545875588
recent_buyer,8.75,166,0,0.8627437545875588
recent_buyer,9.0,166,0,0.8627437545875588
recent_buyer,9.25,166,2,0.8523492515202388
recent_buyer,9.5,164,1,0.8471519999865788
recent_buyer,9.75,163,0,0.8471519999865788
recent_buyer,10.0,163,0,0.8471519999865788
recent_buyer,10.25,163,1,0.8419547484529188
recent_buyer,10.5,161,0,0.8419547484529188
recent_buyer,10.75,161,0,0.8419547484529188
recent_buyer,11.0,161,0,0.8419547484529188
recent_buyer,11.25,160,0,0.8419547484529188
recent_buyer,11.5,160,0,0.8419547484529188
recent_buyer,11.75,159,0,0.8419547484529188
recent_buyer,12.0,158,0,0.8419547484529188
recent_buyer,12.25,157,1,0.8365919793544926
recent_buyer,12.5,156,0,0.8365919793544926
recent_buyer,12.75,154,0,0.8365919793544926
recent_buyer,13.0,153,0,0.8365919793544926
recent_buyer,13.25,152,1,0.8310880847534762
recent_buyer,13.5,151,1,0.8255841901524598
recent_buyer,13.75,149,0,0.8255841901524598
recent_buyer,14.0,146,0,0.8255841901524598
recent_buyer,14.25,146,0,0.8255841901524598
recent_buyer,14.5,145,0,0.8255841901524598
recent_buyer,14.75,144,0,0.8255841901524598
recent_buyer,15.0,143,0,0.8255841901524598
recent_buyer,15.25,141,0,0.8255841901524598
recent_buyer,15.5,141,0,0.8255841901524598
recent_buyer,15.75,140,0,0.8255841901524598
recent_buyer,16.0,140,0,0.8255841901524598
recent_buyer,16.25,138,1,0.8196016960209201
recent_buyer,16.5,137,0,0.8196016960209201
recent_buyer,16.75,137,0,0.8196016960209201
recent_buyer,17.0,135,0,0.8196016960209201
recent_buyer,17.25,134,0,0.8196016960209201
recent_buyer,17.5,134,0,0.8196016960209201
recent_buyer,17.75,134,0,0.8196016960209201
recent_buyer,18.0,133,0,0.8196016960209201
recent_buyer,18.25,132,0,0.8196016960209201
recent_buyer,18.5,132,0,0.8196016960209201
recent_buyer,18.75,132,0,0.8196016960209201
recent_buyer,19.0,132,0,0.8196016960209201
recent_buyer,19.25,131,0,0.8196016960209201
recent_buyer,19.5,130,0,0.8196016960209201
recent_buyer,19.75,129,0,0.8196016960209201
recent_buyer,20.0,129,0,0.8196016960209201
recent_buyer,20.25,129,1,0.8132481945013781
recent_buyer,20.5,126,0,0.8132481945013781
recent_buyer,20.75,126,1,0.8067938437513672
recent_buyer,21.0,123,0,0.8067938437513672
recent_buyer,21.25,122,0,0.8067938437513672
recent_buyer,21.5,122,0,0.8067938437513672
recent_buyer,21.75,121,0,0.8067938437513672
recent_buyer,22.0,121,0,0.8067938437513672
recent_buyer,22.25,120,0,0.8067938437513672
recent_buyer,22.5,120,0,0.8067938437513672
recent_buyer,22.75,119,0,0.8067938437513672
recent_buyer,23.0,117,0,0.8067938437513672
recent_buyer,23.25,115,0,0.8067938437513672
recent_buyer,23.5,111,0,0.8067938437513672
recent_buyer,23.75,110,0,0.8067938437513672
recent_buyer,24.0,108,0,0.8067938437513672
recent_buyer,24.25,106,0,0.8067938437513672
recent_buyer,24.5,105,0,0.8067938437513672
recent_buyer,24.75,104,0,0.8067938437513672
recent_buyer,25.0,102,0,0.8067938437513672
recent_buyer,25.25,101,0,0.8067938437513672
recent_buyer,25.5,101,0,0.8067938437513672
recent_buyer,25.75,101,0,0.8067938437513672
recent_seller,0.25,488,28,0.9426229508196722
recent_seller,0.5,460,33,0.875
recent_seller,0.75,427,19,0.8360655737704917
recent_seller,1.0,408,14,0.8073770491803278
recent_seller,1.25,394,6,0.7950819672131146
recent_seller,1.5,388,3,0.7889344262295082
recent_seller,1.75,385,7,0.7745901639344261
recent_seller,2.0,378,4,0.7663934426229507
recent_seller,2.25,374,3,0.7602459016393441
recent_seller,2.5,371,6,0.7479508196721311
recent_seller,2.75,365,2,0.7438524590163934
recent_seller,3.0,363,3,0.7377049180327868
recent_seller,3.25,360,2,0.7336065573770492
recent_seller,3.5,358,5,0.7233606557377049
recent_seller,3.75,353,2,0.7192622950819673
recent_seller,4.0,351,1,0.7172131147540984
recent_seller,4.25,350,4,0.709016393442623
recent_seller,4.5,346,3,0.7028688524590165
recent_seller,4.75,343,2,0.6987704918032789
recent_seller,5.0,341,2,0.6946721311475412
recent_seller,5.25,339,3,0.6885245901639346
recent_seller,5.5,336,5,0.6782786885245904
recent_seller,5.75,331,7,0.6639344262295084
recent_seller,6.0,324,2,0.6598360655737706
recent_seller,6.25,322,4,0.6516393442622952
recent_seller,6.5,318,2,0.6475409836065575
recent_seller,6.75,316,1,0.6454918032786887
recent_seller,7.0,315,0,0.6454918032786887
recent_seller,7.25,315,2,0.6413934426229511
recent_seller,7.5,313,0,0.6413934426229511
recent_seller,7.75,313,1,0.6393442622950822
recent_seller,8.0,312,0,0.6393442622950822
recent_seller,8.25,312,1,0.6372950819672134
recent_seller,8.5,311,1,0.6352459016393446
recent_seller,8.75,310,1,0.6331967213114758
recent_seller,9.0,309,1,0.6311475409836069
recent_seller,9.25,308,1,0.6290983606557381
recent_seller,9.5,307,1,0.6270491803278693
recent_seller,9.75,306,0,0.6270491803278693
recent_seller,10.0,306,1,0.6250000000000004
recent_seller,10.25,305,0,0.6250000000000004
recent_seller,10.5,305,1,0.6229508196721316
recent_seller,10.75,304,1,0.6209016393442628
recent_seller,11.0,303,1,0.618852459016394
recent_seller,11.25,302,0,0.618852459016394
recent_seller,11.5,302,1,0.6168032786885251
recent_seller,11.75,301,3,0.6106557377049187
recent_seller,12.0,298,1,0.6086065573770497
recent_seller,12.25,297,1,0.6065573770491809
recent_seller,12.5,296,2,0.6024590163934431
recent_seller,12.75,294,1,0.6004098360655743
recent_seller,13.0,293,3,0.5942622950819677
recent_seller,13.25,290,1,0.5922131147540989
recent_seller,13.5,289,1,0.5901639344262299
recent_seller,13.75,288,0,0.5901639344262299
recent_seller,14.0,288,1,0.5881147540983611
recent_seller,14.25,287,2,0.5840163934426233
recent_seller,14.5,285,3,0.5778688524590168
recent_seller,14.75,282,0,0.5778688524590168
recent_seller,15.0,282,0,0.5778688524590168
recent_seller,15.25,282,1,0.5758196721311479
recent_seller,15.5,281,2,0.5717213114754103
recent_seller,15.75,279,1,0.5696721311475414
recent_seller,16.0,278,1,0.5676229508196726
recent_seller,16.25,277,1,0.5655737704918037
recent_seller,16.5,276,2,0.5614754098360659
recent_seller,16.75,274,3,0.5553278688524593
recent_seller,17.0,271,2,0.5512295081967216
recent_seller,17.25,269,0,0.5512295081967216
recent_seller,17.5,269,1,0.5491803278688527
recent_seller,17.75,268,0,0.5491803278688527
recent_seller,18.0,268,0,0.5491803278688527
recent_seller,18.25,268,2,0.545081967213115
recent_seller,18.5,266,3,0.5389344262295084
recent_seller,18.75,263,2,0.5348360655737707
recent_seller,19.0,261,4,0.5266393442622953
recent_seller,19.25,257,4,0.5184426229508199
recent_seller,19.5,253,3,0.5122950819672133
recent_seller,19.75,250,1,0.5102459016393445
recent_seller,20.0,249,0,0.5102459016393445
recent_seller,20.25,249,3,0.5040983606557379
recent_seller,20.5,246,5,0.49385245901639363
recent_seller,20.75,241,3,0.4877049180327871
recent_seller,21.0,238,0,0.4877049180327871
recent_seller,21.25,238,2,0.4836065573770494
recent_seller,21.5,236,3,0.47745901639344285
recent_seller,21.75,233,2,0.47336065573770514
recent_seller,22.0,231,6,0.461065573770492
recent_seller,22.25,225,10,0.4405737704918035
recent_seller,22.5,215,10,0.42008196721311497
recent_seller,22.75,205,9,0.40163934426229525
recent_seller,23.0,196,12,0.37704918032786905
recent_seller,23.25,184,16,0.34426229508196743
recent_seller,23.5,168,10,0.3237704918032789
recent_seller,23.75,158,16,0.2909836065573772
recent_seller,24.0,142,17,0.2561475409836067
recent_seller,24.25,125,18,0.21926229508196735
recent_seller,24.5,107,16,0.18647540983606567
recent_seller,24.75,91,12,0.16188524590163944
recent_seller,25.0,79,10,0.1413934426229509
recent_seller,25.25,69,16,0.10860655737704923
recent_seller,25.5,53,7,0.09426229508196726
recent_seller,25.75,46,3,0.08811475409836071
two_way,0.25,94,20,0.7872340425531915
two_way,0.5,74,10,0.6808510638297873
two_way,0.75,64,11,0.5638297872340426
two_way,1.0,53,5,0.5106382978723405
two_way,1.25,48,6,0.44680851063829796
two_way,1.5,42,0,0.44680851063829796
two_way,1.75,42,1,0.4361702127659575
two_way,2.0,41,0,0.4361702127659575
two_way,2.25,41,1,0.4255319148936171
two_way,2.5,40,0,0.4255319148936171
two_way,2.75,40,1,0.41489361702127664
two_way,3.0,39,1,0.4042553191489362
two_way,3.25,38,0,0.4042553191489362
two_way,3.5,38,1,0.39361702127659576
two_way,3.75,37,0,0.39361702127659576
two_way,4.0,37,0,0.39361702127659576
two_way,4.25,37,0,0.39361702127659576
two_way,4.5,37,1,0.3829787234042554
two_way,4.75,36,0,0.3829787234042554
two_way,5.0,36,1,0.37234042553191493
two_way,5.25,35,0,0.37234042553191493
two_way,5.5,35,0,0.37234042553191493
two_way,5.75,35,0,0.37234042553191493
two_way,6.0,35,1,0.3617021276595745
two_way,6.25,34,0,0.3617021276595745
two_way,6.5,34,0,0.3617021276595745
two_way,6.75,34,1,0.35106382978723405
two_way,7.0,33,1,0.3404255319148936
two_way,7.25,32,0,0.3404255319148936
two_way,7.5,32,1,0.32978723404255317
two_way,7.75,31,0,0.32978723404255317
two_way,8.0,31,0,0.32978723404255317
two_way,8.25,31,0,0.32978723404255317
two_way,8.5,31,0,0.32978723404255317
two_way,8.75,31,0,0.32978723404255317
two_way,9.0,31,1,0.3191489361702127
two_way,9.25,30,0,0.3191489361702127
two_way,9.5,30,0,0.3191489361702127
two_way,9.75,30,0,0.3191489361702127
two_way,10.0,30,2,0.2978723404255319
two_way,10.25,28,0,0.2978723404255319
two_way,10.5,28,0,0.2978723404255319
two_way,10.75,28,0,0.2978723404255319
two_way,11.0,28,0,0.2978723404255319
two_way,11.25,28,1,0.28723404255319146
two_way,11.5,27,0,0.28723404255319146
two_way,11.75,27,0,0.28723404255319146
two_way,12.0,27,0,0.28723404255319146
two_way,12.25,27,0,0.28723404255319146
two_way,12.5,27,0,0.28723404255319146
two_way,12.75,27,1,0.2765957446808511
two_way,13.0,26,0,0.2765957446808511
two_way,13.25,26,0,0.2765957446808511
two_way,13.5,26,0,0.2765957446808511
two_way,13.75,26,0,0.2765957446808511
two_way,14.0,26,0,0.2765957446808511
two_way,14.25,26,0,0.2765957446808511
two_way,14.5,26,0,0.2765957446808511
two_way,14.75,26,0,0.2765957446808511
two_way,15.0,26,1,0.26595744680851063
two_way,15.25,25,0,0.26595744680851063
two_way,15.5,25,0,0.26595744680851063
two_way,15.75,25,0,0.26595744680851063
two_way,16.0,25,1,0.2553191489361702
two_way,16.25,24,0,0.2553191489361702
two_way,16.5,24,0,0.2553191489361702
two_way,16.75,24,2,0.23404255319148934
two_way,17.0,22,0,0.23404255319148934
two_way,17.25,22,0,0.23404255319148934
two_way,17.5,22,0,0.23404255319148934
two_way,17.75,22,0,0.23404255319148934
two_way,18.0,22,0,0.23404255319148934
two_way,18.25,22,0,0.23404255319148934
two_way,18.5,22,0,0.23404255319148934
two_way,18.75,22,0,0.23404255319148934
two_way,19.0,22,0,0.23404255319148934
two_way,19.25,22,1,0.22340425531914893
two_way,19.5,21,0,0.22340425531914893
two_way,19.75,21,1,0.21276595744680848
two_way,20.0,20,0,0.21276595744680848
two_way,20.25,20,0,0.21276595744680848
two_way,20.5,20,0,0.21276595744680848
two_way,20.75,20,0,0.21276595744680848
two_way,21.0,20,0,0.21276595744680848
two_way,21.25,20,0,0.21276595744680848
two_way,21.5,20,0,0.21276595744680848
two_way,21.75,20,0,0.21276595744680848
two_way,22.0,20,0,0.21276595744680848
two_way,22.25,20,0,0.21276595744680848
two_way,22.5,20,0,0.21276595744680848
two_way,22.75,20,0,0.21276595744680848
two_way,23.0,20,0,0.21276595744680848
two_way,23.25,20,0,0.21276595744680848
two_way,23.5,20,0,0.21276595744680848
two_way,23.75,20,0,0.21276595744680848
two_way,24.0,20,0,0.21276595744680848
two_way,24.25,20,8,0.1276595744680851
two_way,24.5,12,0,0.1276595744680851
two_way,24.75,12,2,0.10638297872340426
two_way,25.0,10,1,0.09574468085106383
two_way,25.25,9,0,0.09574468085106383
two_way,25.5,9,0,0.09574468085106383
two_way,25.75,9,0,0.09574468085106383
