hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,spec_buy_ETH,buy_pool_ETH,owner_spec_buy_ETH,game_prefund_ETH
5.0,0.20833333333333334,2026-09-16T10:40:47+00:00,7.850176863484516e-05,-0.24364117006110286,58800398.0512556,7489.047761993537,780,630886.3608690589,111.7189937774005,2390.8831303231004,1833.6128025450632,0.0,7.2261538299921995,0.0,0.0,7.839738945667667,7.00369644457068,92704.40711928382,21.0,0.005672770521753136,75.08210910975491,0.0,0.0,0.0,0.0
5.25,0.21875,2026-09-16T10:55:47+00:00,7.801383455403035e-05,-0.2483423794334556,58666495.591527484,7504.410915790667,780,638178.0275357257,111.7189937774005,2391.1943525009115,1823.2387299513987,0.0,10.37407259366455,0.0,0.0,5.300303381274718,10.062850415819765,133902.45972766136,28.0,3.4847289498429743e-11,4.570057057428965e-07,0.0,0.0,0.0,0.0
5.5,0.22916666666666666,2026-09-16T11:10:47+00:00,7.788318771616711e-05,-0.24960115221195311,58630430.66290127,7521.346256026602,780,645469.6942023925,111.7189937774005,2391.27784533567,1820.4556354594592,0.0,2.783094491939437,0.0,0.0,14.235738578753324,2.6994314972654068,36062.65658974871,11.0,0.00017015991584685253,2.27203646379302,0.0,0.0,0.0,0.0
5.75,0.23958333333333334,2026-09-16T11:25:47+00:00,7.681063965116138e-05,-0.2599350747924041,58330899.88420704,7593.125835924857,780,652761.3608690591,111.7189937774005,2391.965911901053,1797.5200832799696,0.0,22.935552179489605,0.0,0.0,49.532094284150695,21.59442834731393,290795.82789328456,33.0,0.6530572667909974,8734.950800939572,0.0,0.0,0.0,0.0
6.0,0.25,2026-09-16T11:40:47+00:00,7.580860244243885e-05,-0.26958963040210016,58045350.01906971,7616.653551421176,780,660053.0275357259,111.7189937774005,2392.613067034286,1775.9482455055847,0.0,21.571837774384903,0.0,0.0,2.6030328551655444,12.95157147008265,176621.22159462053,34.0,7.973111171070707,108928.643542712,0.0,0.0,0.0,0.0
6.25,0.2604166666666667,2026-09-16T11:55:47+00:00,7.56519224529115e-05,-0.271099230703018,58001459.66896807,7634.247809123899,777,664447.570801487,111.7189937774005,2392.7146395926798,1772.5624935591063,0.09240217652135925,3.385751946478422,1269.315009982122,3.0,14.310078314638734,2.853868517835421,39239.78309417353,18.0,0.33790869372728816,4650.567007465402,0.0,0.0,0.0,0.0
6.5,0.2708333333333333,2026-09-16T12:10:47+00:00,7.414479819197061e-05,-0.2856202633166933,57559778.22449018,7682.955613664732,777,671739.2374681535,111.7189937774005,2393.6971019778643,1739.8137473862432,0.0,32.74874617286309,0.0,0.0,16.941520753156528,28.124353068279802,391488.4735221016,26.0,3.6419307193973918,50192.97095578593,0.0,0.0,0.0,0.0
6.75,0.28125,2026-09-16T12:25:47+00:00,7.388150330538437e-05,-0.2881570903947378,57481232.775619164,7693.605079043196,777,679030.9041348201,111.7189937774005,2393.8697595703316,1734.0584943040233,0.0,5.7552530822199515,0.0,0.0,5.066869888711329,5.215213930777898,73371.401222397,13.0,0.3673815589754577,5174.047648628757,0.0,0.0,0.0,0.0
7.0,0.2916666666666667,2026-09-16T12:40:47+00:00,7.334682097317212e-05,-0.2933087157684564,57320428.18794925,7711.712787958845,777,686322.5708014867,111.7189937774005,2394.2213308530754,1722.339451545917,0.0,11.719042758106298,0.0,0.0,6.740237440285101,0.7578419439316464,10693.093113852576,27.0,10.609629531431462,150111.49455605898,0.0,0.0,0.0,0.0
7.25,0.3020833333333333,2026-09-16T12:55:47+00:00,7.288586702456558e-05,-0.2977499735297371,57181252.85330292,7728.118189454881,775,691607.7467924745,111.7189937774005,2394.525453229762,1712.2020389896893,0.06152638337644703,10.137412556227673,873.5378257682723,2.0,6.57211131649477,8.507981057426514,121137.91763254718,18.0,1.263782738737882,18037.417013777427,0.0,0.0,0.0,0.0
