case,seed,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buyback_ETH
Speculative recovery,2,0.0,713.5260603338479,0.0,0.0,287.3143508645769,2326.2571598392906,2188.57871897372,606.3500830428837,3197361.5839185733,402,1770.5831725153944,85.77019548094954,447855.8460199883,301.10218536622557,100.0,123853.69615764273,2475918.1876191427,67698.13023914024,14.73208700816736,0.0
Speculative recovery,3,7.009276884155283,970.2264382843441,42419.51659493693,3.0,287.77279560572464,2013.1746009637818,1935.1521482433022,668.6085594857514,3953640.0485491287,386,1446.7293644328852,265.5018087659069,1548553.6927014766,288.7698221095686,100.0,124593.84246519538,2369326.149445747,173579.49027409032,30.98781475363092,0.0
Replacement selling accelerates,0,57.13923661538425,1378.4847836298025,587343.2516564038,63.0,255.20002003965493,993.9277536345355,430.6248479879235,949.3860228617632,14565843.312596973,1809,507.58561654415286,330.6049806437628,5202937.934196187,190.69112907684857,100.0,146361.2464332368,1546681.5710358936,975078.7128630131,60.735227843971764,0.0
Replacement selling accelerates,1,57.40767321909425,1534.6207758240444,596779.9227380408,72.0,15.036751708783724,401.16136122109725,657.747535926032,1150.0955247418478,18131551.95162031,2076,374.85167669739076,281.0789545883938,4665973.05568287,9.64565238177272,9.0,3808.928670609457,56565.18154029548,179764.74208902568,9.814246988683461,0.0
Replacement selling accelerates,2,57.64340054194668,1536.5855692802634,594138.0283111343,74.0,32.557084137386745,391.1806528521728,471.3616597657903,1182.3332419082894,18927543.275493592,2062,252.46828488513088,250.51135975163282,4305422.907116098,107.76484907059496,13.0,12779.869309656116,200248.58902980195,122345.21461742371,6.373713388695826,0.0
Replacement selling accelerates,3,55.97176977090518,1614.7808430974587,577904.5368894823,63.0,54.0869064801539,499.2416162614857,389.75603807976375,1309.619368242972,21347428.574741665,2046,381.7218746118577,200.7462797906793,3403762.50176753,66.35627763948195,13.0,10591.31611233024,110158.89086109033,136660.147018373,7.265161943491352,0.0
Owner executes buybacks,0,50.86959077884863,1384.912081110578,528292.6701197529,46.0,329.8199336086447,1460.2760356593153,1115.0929915556071,1177.9796351011382,11356135.158778029,884,963.8799652358804,114.51549279727553,1198178.6912092115,92.62969872829258,100.0,125341.05115402672,2520037.562084974,22560.09716072306,3.198276024622095,100.54971381001975
Owner executes buybacks,1,50.44085025114555,1337.9137180747905,519301.63752401184,48.0,272.1843408525326,1655.7280660255617,1165.5185425451257,1019.2773696759946,9392519.122383729,865,1093.4626059139362,228.0580866054075,2362583.206555329,210.4768729763828,100.0,125656.50997733486,2452082.3558134236,90221.0725379549,13.004563885938296,100.39005109116223
Owner executes buybacks,2,61.8190647968341,1603.6582388633512,625051.3711318813,95.0,298.2640790888621,1360.6119059455907,999.8161316847315,1326.9994797542945,12926964.698702173,918,796.7581759117083,166.7299471463305,1727667.0043983972,171.70488910824042,100.0,125777.13464599411,2395532.3668660116,146618.6225158535,21.426435697675885,100.22591605636079
Owner executes buybacks,3,57.242805389515944,1791.035897757709,597250.693372334,83.0,325.8608978568127,1615.4942858720003,1320.1340334787824,1505.9171400459675,14579915.768400548,1038,1112.7453497294666,174.14487538949095,1795525.1676657926,102.52283573628658,100.0,125472.97258241414,2497314.3634880558,45119.6701602228,6.85047796490418,100.48399572477516
Crowded bank-exit expectations,0,73.73560006184387,1264.987363255545,768562.53781867,445.0,0.06992166931108212,91.24148241983322,1162.0739641702417,1029.9894690257004,15810115.020743856,1890,92.50746721471062,123.31267327033379,1739249.0090305137,0.5261646056040061,0.0,0.0,0.0,0.0,0.0,0.0
