hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,owner_spec_buy_ETH,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH
6.0,0.25,2026-09-16T11:40:47+00:00,0.00018283891509744755,0.7616396457724925,71920313.61990908,6295.8404486315885,1198,1588466.4880920118,111.7189937774005,2403.208645125633,3480.126734316251,0.0,0.6728389609493206,0.0,0.0,0.0,12.282655625551408,5.254097535979852,12.53332206688919,0.652642249008245,3723.7252797497686,0.0,3.0,1.154311259597307e-05,0.06601054525988484,0.0,0.0,0.0,0.0,0.0
6.25,0.2604166666666667,2026-09-16T11:55:47+00:00,0.00018612601324750842,0.7933105973180452,72142859.38941257,6305.813421162273,1198,1595758.1547586787,111.7189937774005,2404.498393217326,3521.77193729987,0.0,8.725689679895368,0.0,0.0,0.0,50.37089266351395,52.9079236059962,51.39887006481016,2.2568479525316616,12661.636696282949,0.0,2.0,6.207071036966845,34681.54337994369,0.0,0.0,0.0,0.0,0.0
6.5,0.2708333333333333,2026-09-16T12:10:47+00:00,0.0001862344481341266,0.7943553595621746,72149790.80669661,6322.5485729274,1198,1603049.8214253453,111.7189937774005,2404.8291009220693,3523.1969543339255,0.0,5.983668217965259,0.0,0.0,0.0,7.408685252021153,18.490876503925385,7.559882910225667,5.804158171426302,32461.75473845772,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.75,0.28125,2026-09-16T12:25:47+00:00,0.00018732202881627637,0.8048341203152134,72222075.92432415,6327.571054396738,1198,1610341.4880920118,111.7189937774005,2405.2414595869977,3536.888111266447,0.0,2.6374160522150305,0.0,0.0,0.0,16.328572984737104,19.125997066789495,16.645310105019018,2.5582935706485794,14263.75926079907,0.016499063080068502,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.2916666666666667,2026-09-16T12:40:47+00:00,0.00018798786431961518,0.811249396951587,72265129.3982535,6327.880522165524,1198,1617633.154758678,111.7189937774005,2406.3289360223384,3545.4171846418144,0.0,18.120353018768128,0.0,0.0,0.0,26.64942639413411,9.926017579492848,27.193292238912363,3.9765854754170227,22092.372454052525,0.0,4.0,13.60015695278806,75637.4401396381,0.0,0.0,0.0,0.0,0.0
7.25,0.3020833333333333,2026-09-16T12:55:47+00:00,0.00018940059569806542,0.8248609610093716,72357604.61290571,6319.57192972948,1198,1624924.821425345,111.7189937774005,2406.8529944879597,3563.1085697413946,0.0,3.2337974558254245,0.0,0.0,0.0,20.92518255540599,9.906851129158724,21.352227097353044,3.1367835321506616,17338.284923040694,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.3125,2026-09-16T13:10:47+00:00,0.00018915106689650885,0.8224567691591309,72340682.59262276,6339.089406775267,1198,1632216.4880920118,111.7189937774005,2407.3896096056505,3560.1141103087734,0.0,11.857732874266276,0.0,0.0,0.0,8.8632734416457,17.05963273085701,9.044156573107855,10.815671241569186,59531.34586389996,0.0,5.0,0.6863296464691029,3781.87200698191,0.0,0.0,0.0,0.0,0.0
7.75,0.3229166666666667,2026-09-16T13:25:47+00:00,0.0001903811883418854,0.834308899796284,72420615.96019433,6387.478591472125,1198,1639508.154758678,111.7189937774005,2407.7564169261263,3575.4575226024926,0.0,1.0648366030736724,0.0,0.0,0.0,16.408248896793438,64.09940431105296,16.743111119176977,0.8211182659088763,4509.396295162723,0.0,4.0,0.21177323907258597,1162.7981016611461,0.0,0.0,0.0,0.0,0.0
8.0,0.3333333333333333,2026-09-16T13:40:47+00:00,0.00019488948439037992,0.8777460042533662,72706996.53834781,6337.552123122645,1198,1646799.821425345,111.7189937774005,2409.0950022598386,3631.258602275229,0.0,3.963401489525495,0.0,0.0,0.0,59.76448116226105,7.213196656967206,59.99416445128678,2.7872690506890057,15147.462247214347,0.99,4.0,1.0572303941507244,5741.32565831791,0.0,0.0,0.0,0.0,0.0
8.25,0.34375,2026-09-16T13:55:47+00:00,0.00019562083843825117,0.8847925472999574,72752441.3095941,6373.023130580832,1198,1654091.4880920113,111.7189937774005,2409.3858945162956,3640.26464201517,0.0,2.1245671362380563,0.0,0.0,0.0,11.130606876179794,44.76793945458803,11.35776211855081,1.0899403357307573,5804.05375802344,0.0,3.0,0.9708897864201571,5167.193092486119,0.0,0.0,0.0,0.0,0.0
