charter_id,owner,ledger_used,wallet_used,new_tokens_needed
556,0x02ff33e10a6f6590ce9e1efb56fdfa0ba6b82929,1225.4492138870512,28302.686330022574,0.0
647,0x4b8ba912055c9691b3249a2315216cc88ccf3f87,1225.4492138870512,28302.686330022574,0.0
656,0xabe0cdd036456fcc1b64d1ddb7aa3bdf7d5b98b1,1225.4492138870512,28302.686330022574,0.0
657,0x419b48a56e6df1f353a0fc05f760581618aec235,1225.4492138870512,28302.686330022574,0.0
674,0x12d080d5670d91261ad0ed24a7273376651ae9e0,1225.4492138870512,28302.686330022574,0.0
696,0xa6ebe798a17b351b0c04cd61654c7ca38860e253,1225.4492138870512,28302.686330022574,0.0
715,0x8293fdc6648dcd00b9194dfa0ab731b51e294f66,1225.4492138870512,28302.686330022574,0.0
721,0x6f97b7de6be7b7771e975e46bae96c35e332e172,1225.4492138870512,28302.686330022574,0.0
722,0x62ae025c2bfe6e5475c8dd37cc883b4369b31775,1225.4492138870512,28302.686330022574,0.0
727,0xad279d438249815e181f4f27d00db1d9521a066d,1225.4492138870512,28302.686330022574,0.0
731,0xfc3c962fad2c1cc77f1a0d46e7b8a2de79a21774,1225.4492138870512,28302.686330022574,0.0
738,0x456408c79e4bed7c58d04098438971255bfa98f0,1225.4492138870512,28302.686330022574,0.0
769,0xfe4b04ade5478f3b649614221cdcc43ee31fa27e,1225.4492138870512,28302.686330022574,0.0
778,0xe463e91b5ac588e24ac810d403795f08f86822d9,1225.4492138870512,28302.686330022574,0.0
784,0xe65a52b61436e4c60d2b3ef0b475b80800a8f0aa,1225.4492138870512,28302.686330022574,0.0
868,0x7029bfa9a85ebf4653945be520dc3b7f1181f4af,1225.4492138870512,28302.686330022574,0.0
902,0x419b48a56e6df1f353a0fc05f760581618aec235,1225.4492138870512,28302.686330022574,0.0
910,0xfc3c962fad2c1cc77f1a0d46e7b8a2de79a21774,1225.4492138870512,28302.686330022574,0.0
945,0x6f97b7de6be7b7771e975e46bae96c35e332e172,1225.4492138870512,28302.686330022574,0.0
954,0xe06ad0acb3956f98c9df77bd02cdfd4426b2208d,1225.4492138870512,28302.686330022574,0.0
955,0x26474f395c327415f42167c7ae53ab7413078dc9,1225.4492138870512,28302.686330022574,0.0
987,0xca16b6208efa84e543d48904f853265bc2705cc1,1225.4492138870512,28302.686330022574,0.0
826,0xcfb1495fc39a4bd101ada0f4c81754671f24843f,1189.3732108271906,28338.762333082435,0.0
644,0x8e871ecf331a27c762bbcff795279def31c8a25a,1189.2654772277408,28338.870066681884,0.0
9,0x1d7b4a9960f908ecc71405f74715fd7f05bf5581,0.0,29528.135543909626,0.0
9,0x1d7b4a9960f908ecc71405f74715fd7f05bf5581,0.0,29528.135543909626,0.0
19,0x8738117428f539ce10eaa583354bb3a0158b628a,0.0,29528.135543909626,0.0
19,0x8738117428f539ce10eaa583354bb3a0158b628a,0.0,29528.135543909626,0.0
46,0xfc3c962fad2c1cc77f1a0d46e7b8a2de79a21774,0.0,29528.135543909626,0.0
46,0xfc3c962fad2c1cc77f1a0d46e7b8a2de79a21774,0.0,29528.135543909626,0.0
60,0x00b1c364d7f1a23f4b54d48c25e2bddf23d4e27b,0.0,29528.135543909626,0.0
60,0x00b1c364d7f1a23f4b54d48c25e2bddf23d4e27b,0.0,29528.135543909626,0.0
112,0xe06ad0acb3956f98c9df77bd02cdfd4426b2208d,0.0,29528.135543909626,0.0
112,0xe06ad0acb3956f98c9df77bd02cdfd4426b2208d,0.0,29528.135543909626,0.0
127,0x1cca082840abf3c851c2d261771fc8f43daefca0,0.0,29528.135543909626,0.0
146,0x2bdf1a698d39a4358e2c162deacc038fadb8a9d5,0.0,29528.135543909626,0.0
146,0x2bdf1a698d39a4358e2c162deacc038fadb8a9d5,0.0,29528.135543909626,0.0
157,0x27ed385662b631074034889332cd38483ce59852,0.0,29528.135543909626,0.0
160,0xcab21d30dbbe7ef86618e1aea139f6c8a9b44c98,0.0,29528.135543909626,0.0
160,0xcab21d30dbbe7ef86618e1aea139f6c8a9b44c98,0.0,29528.135543909626,0.0
207,0x304856144a8cc390cd59c76f7df2dcd8174ba549,0.0,29528.135543909626,0.0
207,0x304856144a8cc390cd59c76f7df2dcd8174ba549,0.0,29528.135543909626,0.0
213,0xce6c2ae3b51aeff88d3bc32e3742db14df9fcb9a,0.0,29528.135543909626,0.0
218,0xd01fe03aba9eb73ff92e2b64e22daf99458e4f54,0.0,29528.135543909626,0.0
218,0xd01fe03aba9eb73ff92e2b64e22daf99458e4f54,0.0,29528.135543909626,0.0
331,0xfcc81831f4a866fc9555c3c918590739e12bfb70,0.0,29528.135543909626,0.0
332,0xf24022ba0fea5926d30fba8fece6d7a852732989,0.0,29528.135543909626,0.0
332,0xf24022ba0fea5926d30fba8fece6d7a852732989,0.0,29528.135543909626,0.0
379,0xd8576cd2b17b17ffa06846e415027e2de78501b7,0.0,29528.135543909626,0.0
431,0xaae99871b32a731ddeaeee18517e365ebe44f395,0.0,29528.135543909626,0.0
431,0xaae99871b32a731ddeaeee18517e365ebe44f395,0.0,29528.135543909626,0.0
433,0x0f9a7a53b36daf1f52fe7a616ea4b25c532d2fd2,0.0,29528.135543909626,0.0
433,0x0f9a7a53b36daf1f52fe7a616ea4b25c532d2fd2,0.0,29528.135543909626,0.0
