hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,spec_buy_ETH,buy_pool_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,owner_spec_buy_ETH
4.25,0.17708333333333334,2026-09-16T09:55:47+00:00,8.060347061443447e-05,-0.22339142438267445,59149090.04202531,7344.950834770564,1150,959358.590940212,111.7189937774005,2389.7736471958606,1877.9829529989472,5.246183464040896,82.31420430390108,64692.1582192714,13.0,18.255259956647244,67.5341063617442,853888.1293840855,18.0,0.0,0.0,7.0644883489989265,88421.68236898702,0.0
4.5,0.1875,2026-09-16T10:10:47+00:00,8.031606612214841e-05,-0.22616054575770772,59073415.39517932,7352.124958847633,1150,966650.2576068785,111.7189937774005,2389.9544832147717,1871.9550857019346,0.0,6.027867297012563,0.0,0.0,1.3270927989664685,4.3366260491564335,56132.00501989145,25.0,0.0,0.0,1.5104052289457512,19542.64182610461,0.0
4.75,0.19791666666666666,2026-09-16T10:25:47+00:00,8.015883253326793e-05,-0.22767547994811976,59031843.09368795,7360.429160865975,1150,973941.9242735454,111.7189937774005,2390.053552133618,1868.6527884070529,0.0,3.3022972948817824,0.0,0.0,5.100973642307146,1.4523602657996664,18842.973869723028,7.0,0.0,0.0,1.7508681102356625,22729.327621641158,0.0
5.0,0.20833333333333334,2026-09-16T10:40:47+00:00,7.807914657932598e-05,-0.24771310282106063,58470313.57847166,7403.877583167079,1150,981233.5909402119,111.7189937774005,2391.3729402236345,1824.6731854065492,0.0,43.97960300050363,0.0,0.0,0.7882073906148721,6.697980184726811,88294.97124383705,16.0,0.0,0.0,35.96223472576171,473234.54397246084,0.0
5.25,0.21875,2026-09-16T10:55:47+00:00,7.761398878263868e-05,-0.25219486435277716,58365332.14002015,7424.979683730489,1145,956841.2952641586,111.7189937774005,2391.670397993737,1814.757926403106,1.77415590934522,9.915259003443225,23674.937321061458,5.0,11.48429933007041,7.843645323994708,104981.43845150537,7.0,0.0,0.0,0.0,0.0,0.0
5.5,0.22916666666666666,2026-09-16T11:10:47+00:00,7.627485677626432e-05,-0.2650973038148283,57988403.80971416,7466.818739285084,1145,964132.961930825,111.7189937774005,2392.534298038505,1786.047529828172,0.0,28.76174039210582,0.0,0.0,13.992559024427905,25.212763015414776,341039.15828087967,9.0,0.05239165017529969,0.0513438171717937,2.686125164927862,36554.68326414706,0.0
5.75,0.23958333333333334,2026-09-16T11:25:47+00:00,7.587033218905883e-05,-0.26899486878414103,57872593.93786423,7479.030132862001,1145,971424.6285974921,111.7189937774005,2392.7959528489723,1777.3257028125813,0.0,8.721827015590634,0.0,0.0,3.7512213717935414,7.99433785435117,109418.43058241696,11.0,0.0,0.0,0.46583435077174273,6391.441267517191,0.0
6.0,0.25,2026-09-16T11:40:47+00:00,7.525893146083072e-05,-0.27488567032235167,57695789.31372376,7500.833518445718,1145,978716.2952641584,111.7189937774005,2393.1927468388208,1764.0992364842893,0.0,13.226466328291963,0.0,0.0,8.973713245274041,12.736714729829202,175526.92628725158,26.0,0.0,0.0,0.09295760861400366,1277.6978532189767,0.0
6.25,0.2604166666666667,2026-09-16T11:55:47+00:00,7.47413638414837e-05,-0.2798723966826775,57544426.83437873,7525.00788308856,1145,986007.9619308254,111.7189937774005,2393.5299054182724,1752.8606171692122,0.0,11.23861931507713,0.0,0.0,13.272903907217271,10.24781087446419,142306.87081052968,18.0,0.0,0.0,0.6536498611606271,9055.608534492687,0.0
6.5,0.2708333333333333,2026-09-16T12:10:47+00:00,7.356582550223542e-05,-0.2911986230631042,57194726.03909451,7557.28689271405,1145,993299.6285974922,111.7189937774005,2394.3000488836583,1727.189168322957,0.0,25.671448846255316,0.0,0.0,7.377704244621708,24.581392401458004,345176.8261377408,19.0,0.0,0.0,0.31991297940964614,4523.969146485453,0.0
6.75,0.28125,2026-09-16T12:25:47+00:00,7.326927090910082e-05,-0.29405590499416034,57105157.41253173,7567.8958546166305,1145,1000591.2952641586,111.7189937774005,2394.503569629395,1720.6823133135142,0.0,6.671810344354753,0.0,0.0,4.30562763887541,3.477235701435204,49312.01181962164,18.0,0.04797177031837918,0.1649553349120116,2.994420332588907,42479.56013266748,0.12035
7.0,0.2916666666666667,2026-09-16T12:40:47+00:00,7.293266480965402e-05,-0.29729908027486185,57002801.15102174,7577.5297484399325,1145,1007882.9619308254,111.7189937774005,2394.745913910641,1713.2828541359868,0.0,7.803372047996618,0.0,0.0,2.4767789270194727,4.817540400417654,68591.57102056178,13.0,0.41215599027448685,0.4039128704689971,2.7517304861390652,39237.17158250194,0.0
7.25,0.3020833333333333,2026-09-16T12:55:47+00:00,7.279954826490222e-05,-0.29858164849956403,56961407.15159674,7587.318113244772,1145,1015174.6285974924,111.7189937774005,2395.105275343222,1710.4044629440536,0.0,8.294373031776558,0.0,0.0,7.269335045489285,8.045038741488808,114816.21307390586,16.0,5.5265120814726565,5.415981839843203,0.0005030993344530544,7.183356680295278,0.0
7.5,0.3125,2026-09-16T13:10:47+00:00,7.281885846707125e-05,-0.2983955961064467,56966756.43137864,7598.82742097429,1145,1022466.2952641586,111.7189937774005,2395.2948792429615,1710.8704187439248,0.0,3.572726837009668,0.0,0.0,12.164867429129092,3.3101387763524435,47347.660750280986,16.0,4.121104731510687,4.0386826368804725,0.15540625554693405,2223.239732749614,0.0
7.75,0.3229166666666667,2026-09-16T13:25:47+00:00,7.29151319423078e-05,-0.29746800817625907,56995346.89804998,7600.94398316138,1145,1029757.9619308258,111.7189937774005,2395.526748456683,1713.0502772783789,0.0,3.7173007845849497,0.0,0.0,4.528289935265096,3.605779629899878,51581.63019594351,7.0,6.017509509223196,5.897159319038733,2.1311475234142562e-06,0.03047634013211606,0.0
