address,buy_ETH,tokens_bought,wallet_tokens,charter_count,strategy
0x8908253a36effaf7c284dc044f22d90fc9a3139d,0.6949013947120672,6465.23429149762,4007.9463636159817,0,recent_seller
0xc348f4b6dbf1b156d802810db2f6d59f36c837bf,0.6908834625,6677.102173689178,220.73658116832868,1,charter_owner
0xdfb394da326cfa4e1b8ba52699dd01c9ee86c5a7,0.662949665671781,6403.838686553268,0.0,0,recent_buyer
0x36f552bea24c2fabd6680414e41355542535b727,0.6578060018828021,6192.9786081575485,6701.414333931995,0,recent_buyer
0x792c4efe6c9df1e3f3147e52309cec998c856067,0.5883920924713812,5649.618607655046,0.0,0,recent_buyer
0x6ba9ad599e6271252817933831e3148936cf742a,0.5878893089999999,5898.458631377945,4287.547587277534,1,charter_owner
0xab078f1e310c3f6b9a6b6c91f23c6cb5f09fe61c,0.5665968,5787.9722187051575,2723.5422187051568,1,charter_owner
0x34e144a975240ebbc5524b129d054a02006c3300,0.5135022581968124,5327.244862483808,5327.244862483808,0,recent_buyer
0xd26a2bd8a59ea00bd836142cc6be9717361a3b51,0.5001390397593922,5200.736500935042,0.0,0,two_way
0x9c26bf36c5b53620abc504d3ff16adc824807a1b,0.4958432300222094,4827.314438457307,0.0,0,two_way
0x4280fd97f782a3fc6634fcc1c3285e13bcd029ec,0.49,5095.503604657121,0.0,0,two_way
0xf777b79d1105378cee614978c68b89383b0ca362,0.48804,5061.481495839443,14731.206584571624,0,recent_buyer
0x015f316f30450c87c92492df4405bd1c238007d8,0.4851,4555.887394746563,0.0,1,charter_owner
0xe463e91b5ac588e24ac810d403795f08f86822d9,0.4851,5096.235106331019,70371.89947320017,1,charter_owner
0x5ab2d1f5069dd2f9aeec3b0a8e923b1cdbe7fc44,0.47695559712507596,4692.828038728305,1385.3325415740198,1,charter_owner
0x7895a0a2d2898401aefdacc8b205e7b6b5804f7a,0.44269539999999996,4499.925971573415,0.0,0,two_way
0x82964982c02890483fe4b2ce66121e10c294a477,0.4287610187751314,4223.041215743553,4826.408687945376,0,recent_buyer
0x4bf00015f2e85d44e76305b475a2cc3d5cb9ae65,0.4077482214605331,4044.091093462556,171852.40822287687,0,recent_buyer
0x912a54a98f2f4e34de6bd406e08ec901ba8d0ef7,0.40754995881329625,3796.913757711909,18576.79215119353,0,recent_buyer
0xfefc03fbb02f682d87e852a0cccbe393e62494a5,0.4062647806748424,4057.349938374874,0.0,0,two_way
0x8f6581ed8367be44a0a667aafa5671c487f05020,0.4058311210644745,4030.2621866651466,18294.14923721176,0,recent_buyer
