hour,event,charter,count,price_tokens,funding,eth,inventory_tokens,gross_tokens,resolution_fee,net_eth
91.0,license,916,1,4091.8246859074748,wallet/cash,0.8282889551386082,0.0,,,
91.0,license,84,1,4091.8246859074748,wallet/cash,0.8285722900072298,0.0,,,
91.0,license,964,1,4091.8246859074748,wallet/cash,0.8288557702832308,0.0,,,
91.0,license,858,1,4091.8246859074748,wallet/cash,0.8291393972052999,0.0,,,
91.0,license,771,1,4091.8246859074748,wallet/cash,0.829423173927067,0.0,,,
91.0,license,18,1,4091.8246859074748,wallet/cash,0.8297070967503283,0.0,,,
91.0,license,249,1,4091.8246859074748,wallet/cash,0.8299911653831472,0.0,,,
91.0,license,324,1,4091.8246859074748,wallet/cash,0.8302753799270893,0.0,,,
91.0,license,227,1,4091.8246859074748,wallet/cash,0.8305597404821886,0.0,,,
91.0,license,692,1,4091.8246859074748,wallet/cash,0.8308442471479691,0.0,,,
91.0,license,720,1,4091.8246859074748,wallet/cash,0.8311289000234442,0.0,,,
91.0,license,270,1,4091.8246859074748,wallet/cash,0.8314136992117102,0.0,,,
91.0,license,990,1,4091.8246859074748,wallet/cash,0.8316986448112703,0.0,,,
91.0,license,910,1,4091.8246859074748,wallet/cash,0.831983736921138,0.0,,,
91.0,license,790,1,4091.8246859074748,wallet/cash,0.8322689756433891,0.0,,,
91.0,license,530,1,4091.8246859074748,wallet/cash,0.8325543610800991,0.0,,,
112.0,license,995,1,6939.645433531948,wallet/cash,1.14287163866611,0.0,,,
112.0,license,225,1,6939.645433531948,wallet/cash,1.1434694995200674,0.0,,,
112.0,license,729,1,6939.645433531948,wallet/cash,1.144067829628888,0.0,,,
112.0,license,170,1,6939.645433531948,wallet/cash,1.144666629479473,0.0,,,
112.0,license,124,1,6939.645433531948,wallet/cash,1.1452658995694416,0.0,,,
112.0,license,956,1,6939.645433531948,wallet/cash,1.1458656403877363,0.0,,,
112.0,license,803,1,6939.645433531948,wallet/cash,1.1464658524294247,0.0,,,
112.0,license,916,1,6939.645433531948,wallet/cash,1.1470665361854906,0.0,,,
112.0,license,84,1,6939.645433531948,wallet/cash,1.1476676921535536,0.0,,,
112.0,license,964,1,6939.645433531948,wallet/cash,1.1482693208266392,0.0,,,
112.0,license,858,1,6939.645433531948,wallet/cash,1.1488714227003252,0.0,,,
112.0,license,771,1,6939.645433531948,wallet/cash,1.1494739982727409,0.0,,,
112.0,license,18,1,6939.645433531948,wallet/cash,1.1500770480404847,0.0,,,
112.0,license,249,1,6939.645433531948,wallet/cash,1.1506805725001554,0.0,,,
112.0,license,324,1,6939.645433531948,wallet/cash,1.1512845691059839,0.0,,,
112.0,license,227,1,6939.645433531948,wallet/cash,1.1518890257053453,0.0,,,
112.0,license,692,1,6939.645433531948,wallet/cash,1.1524939562377003,0.0,,,
112.0,license,720,1,6939.645433531948,wallet/cash,1.1530993634269393,0.0,,,
112.0,license,270,1,6939.645433531948,wallet/cash,1.1537052477747651,0.0,,,
112.0,license,990,1,6939.645433531948,wallet/cash,1.1543116097798172,0.0,,,
112.0,license,910,1,6939.645433531948,wallet/cash,1.1549184499468603,0.0,,,
