hour,price,eth_principal,token_principal,sqrt,scale,branches,charters,remaining_slots,pending,withdrawn_7d,protected_branch_balance,protected_branch_count,resolution_fee_small,buy_tax,sell_tax,multiplier,banker_cash,speculator_cash,banker_inventory,speculator_inventory,prospective_cash,contraction_eth,expansion_eth,pol_eth,team_eth,unallocated_hook_fees,uncollected_lp_eth,uncollected_lp_tokens,issued,physical_burned,ledger_burned,recycle_buffer,momentum_day,forecast_price_7d,eth_accounting_error,token_accounting_error,ledger_accounting_error,pool_buy_eth,pool_sell_eth_gross,pol_added_eth,spec_buy_eth,spec_sell_eth,license_buy_eth,prefund_buy_eth,banker_inventory_sell_eth,withdraw_sell_eth,buyback_eth,pol_buy_eth,charter_eth,new_capital_eth,licenses_internal,licenses_external,license_tokens_internal,license_tokens_inventory,license_tokens_fresh,prefund_tokens,branches_retired,charters_created,gross_withdrawn,resolution_fee_tokens,hook_tax_eth,lp_fee_eth,lp_fee_tokens,licenses_bought
289.0,0.00020964955162852518,3475.2651034916003,24480654.448040098,76.69652882121072,1.0,2094.4166666666665,872.0833333333334,6626.416666666667,4034104.1318032607,921724.1313042039,5830.06358049929,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1434.8300076247099,9337.310939959241,1010289.444972728,69783461.97031994,801.4771317163305,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,36.3800780891527,201.5773883796453,593014.549849736,8662978.009259215,3172219.067525554,4334462.297330908,29856.224486567724,0.17139522089918716,0.000540929749557654,-1.1338367282102506e-10,-9.022187441587448e-08,5.78584149479866e-08,61.541230990971606,47.86511861787968,0.0,58.58857638736195,40.40570954549265,0.0,4.842912986964616,6.023455513850638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38864.04205784574,0.0,0.0,0.0,0.0,2.7045833460229214,0.6216285958684002,1581.6845854935702,0.0
290.0,0.00021101095669501314,3487.1885849170503,24432635.256449193,76.5467234496147,1.0,2094.4166666666665,872.0833333333334,6626.416666666667,4058450.7318368456,921724.1313042039,5841.702820000527,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1437.7614432722512,9318.721694024114,1026831.2435822013,69813111.97663493,801.4771317163305,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,39.433628653865725,202.25816667706854,594841.9365161702,8687040.509259216,3172219.067525554,4334462.297330908,29856.224486567724,0.16630193335864868,0.0005365603287638201,-1.1429316752279799e-10,-9.518892814715703e-08,5.7470363875230156e-08,67.39705144490989,55.4735700194592,0.0,61.40980752378112,42.820561588652794,0.0,8.057365682681384,10.988801330222623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51379.460267264396,0.0,0.0,0.0,0.0,3.0535505647130265,0.6807782974233323,1827.3866664341342,0.0
291.0,0.0002116228111653495,3492.5615545767655,24401405.569890898,76.44976946796466,1.0,2095.25,872.9166666666666,6633.916666666667,4082797.3318704306,921724.1313042039,5853.342059501766,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1450.0120327261147,9297.725439250582,1019181.3184635575,69849655.45457889,799.9832563331471,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,43.57363980133356,202.9847265727352,597178.070249142,8711103.009259216,3172219.067525554,4334462.297330908,29856.224486567724,0.15747951054602563,0.0005321595135993601,-1.1580899202575286e-10,-9.643069157997768e-08,5.653904130061468e-08,71.92942967100846,66.55646001129215,0.0,66.37461003001187,45.37835525648063,0.0,7.764154833942474,19.181410954472756,0.0,0.0,0.0,0.6605420498499904,0.0,0.0,0.0,0.0,0.0,0.0,56758.52233345186,0.0,0.8333333333333334,0.0,0.0,3.479469097617851,0.7265598956667523,2336.1337329716102,0.0
292.0,0.00021247805023485544,3498.5807793337312,24381324.524347484,76.38678839313708,1.0,2095.25,872.9166666666666,6633.916666666667,4107143.9319040156,921724.1313042039,5864.977021172952,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1466.9918608007526,9270.288187895765,962669.585389119,69923770.19389443,799.9832563331471,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,47.243427676971415,203.75313722030978,599656.1095514458,8735165.509259216,3172219.067525554,4334462.297330908,29856.224486567724,0.14865373146243202,0.0005291533087596073,-1.1702165162811676e-10,-1.0636479904254277e-07,5.6228600442409515e-08,76.07265410988673,70.05342935292094,0.0,74.91745622077003,47.48020486595394,0.0,3.4917935317415707,20.471621606379376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17163.766109664924,0.0,0.0,0.0,0.0,3.669787875637861,0.7684106475746137,2478.039302303739,0.0
293.0,0.00021601257645645813,3530.4004312615834,24265753.06542559,76.02614411247646,1.0,2095.25,872.9166666666666,6633.916666666667,4131490.5319376006,921724.1313042039,5876.611982844137,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1464.3008891027519,9237.092137377878,970446.6548859457,70029758.78615834,799.9832563331471,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,50.47531080767896,204.5886243776372,601461.9067126114,8759228.009259218,3172219.067525554,4334462.297330908,29856.224486567724,0.15922919032490426,0.0005352734282901355,-1.1762798142929873e-10,-1.0139774531126022e-07,5.5452498296896614e-08,82.7132285754194,50.89357664756623,0.0,82.56281986602674,49.366769348139236,0.0,2.690971698000697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7777.069496826734,0.0,0.0,0.0,0.0,3.2318831307075353,0.8354871573274686,1805.7971611656665,0.0
294.0,0.00021908922804234475,3558.4474487569955,24160595.147835817,75.6982284811295,1.0,2095.25,872.9166666666666,6633.916666666667,4155837.1319711856,921724.1313042039,5888.246944515322,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1463.950258244513,9205.408236567338,971183.9065976621,70132405.40654534,799.9832563331471,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,53.659452454602935,205.39199690408006,603235.9522036669,8783290.509259218,3172219.067525554,4334462.297330908,29856.224486567724,0.16659962606264483,0.0005434256307831957,-1.1641532182693481e-10,-1.038812721769015e-07,5.48316165804863e-08,79.5338801178495,51.486862622437265,0.0,81.62615755430438,49.94225674376415,0.0,0.350630858238941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.2517117164098,0.0,0.0,0.0,0.0,3.1841416469239836,0.8033725264429243,1774.04549105548,0.0
295.0,0.00022179211266914667,3583.670420609502,24062456.971424118,75.39237060312321,1.0,2095.25,872.9166666666666,6633.916666666667,4180183.7320047705,921724.1313042039,5899.881906186508,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1463.6433589825413,9176.684156142162,971875.3619041349,70228171.47691092,799.9832563331471,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,56.708046468849034,206.1514107244736,604916.6029433128,8807353.009259218,3172219.067525554,4334462.297330908,29856.224486567724,0.17174176968286345,0.0005543361742351738,-1.1823431123048067e-10,-1.038812721769015e-07,5.413312464952469e-08,75.18196821896748,49.95899636646052,0.0,77.18430690064189,48.4602264754667,0.0,0.3068992619715163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.4553064727224,0.0,0.0,0.0,0.0,3.048594014246083,0.759413820393611,1680.6507396459613,0.0
296.0,0.00022375366007299107,3601.961157090387,23993126.438998774,75.1762550729479,1.0,2096.0833333333335,873.75,6641.416666666667,4204530.332038355,921724.1313042039,5911.516867857693,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1464.7294222309017,9154.616738973244,971059.0514328829,70296689.16373023,798.8187382208771,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,59.88562465650293,206.82896808876322,606545.7590205973,8831415.509259218,3172219.067525554,4334462.297330908,29856.224486567724,0.1713002447870754,0.0005645700765650419,-1.1853747613107166e-10,-9.767245501279831e-08,5.335702250401179e-08,67.07817906467697,48.78744258379121,0.0,69.13850656017006,47.07108939125056,0.0,0.0,0.25272991502690806,0.0,0.0,0.0,0.3311847789367485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,2.8463934087171374,0.6775573642896665,1629.1560772844043,0.0
297.0,0.00022531558311250175,3616.7074122652916,23934876.488473814,74.99486522220036,1.0,2096.9166666666665,874.5833333333334,6648.916666666667,4228876.93207194,921724.1313042039,5923.147499048812,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1464.803701829963,9137.222971947334,977928.981795489,70346475.09135197,797.4600508581506,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,63.17720641497616,207.46930594496007,608139.8515612195,8855478.00925922,3172219.067525554,4334462.297330908,29856.224486567724,0.16850011041267202,0.0005737938131010252,-1.1884064103166261e-10,-1.0263950874408086e-07,5.296897143125534e-08,63.39344776349321,48.647192588588155,0.0,64.58154383684045,47.18777681093051,0.0,0.7590537342719249,0.0,0.0,0.0,0.0,0.5253540293933391,0.0,0.0,0.0,0.0,0.0,0.0,6869.930362606111,0.0,0.8333333333333334,0.0,0.0,2.766227729079892,0.6403378561969012,1594.092540622186,0.0
298.0,0.0002265364148681369,3630.4447177324087,23855927.185275156,74.74936152238827,1.0,2099.4166666666665,877.0833333333334,6671.416666666667,4253223.532105525,921724.1313042039,5934.774023662176,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1462.272561855248,9125.16309048251,1023179.0471363656,70378605.83115529,793.9806928340964,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,66.8837706444145,208.09581571199658,609708.3496156821,8879540.509259222,3172219.067525554,4334462.297330908,29856.224486567724,0.16719032371600598,0.0005844247151529454,-1.203564655346175e-10,-1.0636479904254277e-07,5.227047950029373e-08,62.02446693662147,48.287161469504476,0.0,58.73792318770942,46.6780417228867,0.0,5.191644877247791,0.16050490253264568,0.0,0.0,0.0,0.9793580240540535,0.0,0.0,0.0,0.0,0.0,0.0,45785.44259754413,0.0,2.5,0.0,0.0,2.7272062053842787,0.6265097670365806,1568.4980544626314,0.0
299.0,0.00022773406856674785,3647.0460226788823,23732012.774938297,74.36395088377579,1.0,2101.0833333333335,878.75,6686.416666666667,4277570.13213911,921724.1313042039,5946.387902597765,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1453.654024117515,9115.49214998719,1113133.9822999232,70411021.87734485,791.1482813137313,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,70.76336446239269,208.73680670096337,611251.77859942,8903603.009259222,3172219.067525554,4334462.297330908,29856.224486567724,0.17089512956355077,0.0005932322244036882,-1.2005330063402653e-10,-1.0015598187843959e-07,5.1649597783883415e-08,63.45810790771616,46.85680296124152,0.0,54.32942899526139,44.65848849993964,0.0,11.077814776864125,0.7926103724646335,0.0,0.0,0.0,1.1657448536984107,0.0,0.0,0.0,0.0,0.0,0.0,92631.82144689684,0.0,1.6666666666666667,0.0,0.0,2.7138489642797556,0.64099098896683,1543.4289837377485,0.0
300.0,0.0002286396547285694,3661.548919415612,23618696.93613379,74.01161685133245,1.0,2101.0833333333335,878.75,6686.416666666667,4301916.732172695,921724.1313042039,5957.991437697049,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1446.7970595970874,9104.424244202002,1169978.6711494394,70465710.84096192,791.1482813137313,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,73.54365140146706,209.37849333077494,613033.9649373435,8927665.509259222,3172219.067525554,4334462.297330908,29856.224486567724,0.17279773833502052,0.0005652785766393361,-1.203564655346175e-10,-1.038812721769015e-07,5.0951105852921806e-08,63.52697635134657,49.02407961461679,0.0,58.304604228978995,47.236698443791,0.0,7.17362330281507,0.3166587823872813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57915.44336285163,0.0,0.0,0.0,0.0,2.7802869390743843,0.6416866298115816,1782.1863379235917,0.0
301.0,0.00022935057155663028,3675.485730209218,23497567.118635904,73.63483660968042,1.0,2101.0833333333335,878.75,6686.416666666667,4326263.33220628,921724.1313042039,5969.594972796335,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1444.4018676453609,9089.446698924768,1195825.055584321,70559202.64116138,791.1482813137313,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,76.33839525032973,210.01967591726478,614825.5978008865,8951728.009259222,3172219.067525554,4334462.297330908,29856.224486567724,0.1750611351120597,0.0005386379253912451,-1.1975013573343554e-10,-1.0263950874408086e-07,5.056305478016535e-08,63.47707606250237,49.540265268896576,0.0,62.8734287008231,47.895883423591016,0.0,2.553365838964973,0.15817388723866013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26381.761691549484,0.0,0.0,0.0,0.0,2.7947438488626584,0.6411825864899228,1791.632863543053,0.0
302.0,0.00023021628603711358,3692.3051286053965,23350176.184559632,73.17586313393956,1.0,2101.0833333333335,878.75,6686.416666666667,4350609.932239865,921724.1313042039,5981.198507895621,1.0,0.4744025813999377,0.02,0.03,0.8250000000000001,1441.4988151369098,9072.025775800425,1225084.1034393173,70675560.6617118,791.1482813137313,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,79.17598168724346,210.68666671696806,616599.4634717422,8975790.509259224,3172219.067525554,4334462.297330908,29856.224486567724,0.18051753240689714,0.0005222712642817513,-1.1944697083284458e-10,-9.891421844561894e-08,4.978695263465246e-08,66.03208917062857,49.2126907744503,0.0,65.15723317556096,47.7363100512168,0.0,2.903052508451181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29259.047854996286,0.0,0.0,0.0,0.0,2.8375864369137513,0.6669907997033188,1773.8656708556302,0.0
303.0,0.00023908667552270657,3793.7496777602173,22809629.586425524,71.49209016655813,1.0,2124.3333333333335,877.75,6653.166666666667,4365258.215781978,781297.7171090938,5992.8020429949065,1.0,0.40247687113792496,0.02,0.03,0.8250000000000001,1345.1012064821664,9060.787139865863,1466741.9375255762,70757056.90934987,791.1482813137313,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,83.83127484166336,212.22306899703221,618470.8677023186,8999853.009259224,3397204.546063635,4334579.272397208,29973.199552868526,0.2536753864670838,0.0006505138858129768,-1.2126596023639044e-10,-8.8087593515714e-08,4.932129134734472e-08,152.10382572635544,50.659276571534065,0.0,59.40670119892901,48.16806526436698,26.141734611948962,71.22730705281556,0.0,0.9714330100210606,0.0,0.0,0.0,0.0,0.0,25.0,0.0,98119.55170081585,126865.92683726421,339777.3857870749,1.75,0.0,9698.31649147163,233.95013260159968,4.65529315441989,1.5364022800641963,1871.404230576425,25.0
304.0,0.00023913986519625888,3799.6267481097743,22746310.235326473,71.29551203771781,1.0,2122.8333333333335,875.5833333333334,6633.0,4370358.334651989,800544.1982726679,6004.29171627323,1.0,0.408039544849798,0.02,0.03,0.8250000000000001,1345.7687287518763,9050.586715906715,1443848.628157841,70824519.54027064,791.1482813137313,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,86.8495649155683,212.86061026300857,620645.0764824223,9023915.509259224,3431889.203777986,4335148.094504775,30542.021660434362,0.24147076114710617,0.0006364109738567447,-1.203564655346175e-10,-8.672941476106644e-08,4.854518920183182e-08,63.1165853316657,57.239514982108574,0.0,63.63794891637755,53.437524957229236,0.0,1.4172823057062616,0.1578392169768722,1.9269653584392152,0.0,0.0,0.0,0.0,0.0,1.9166666666666667,0.0,34684.65771435122,0.0,12326.725603284003,3.4166666666666665,0.0,19246.48116357421,1137.6442151316799,3.0182900739049328,0.6375412659764214,2174.208780103678,1.9166666666666667
305.0,0.00023986159953818856,3817.690867225521,22562167.94172318,70.7228548873059,1.0,2133.1666666666665,876.4166666666666,6631.0,4344337.602899224,800544.1982726679,6015.786968913658,1.0,0.408039544849798,0.02,0.03,0.8250000000000001,1332.5904986049675,9042.63657416107,1547521.0689238978,70896838.83318074,790.1530627491537,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,90.1704494423771,213.59919707758436,622625.0579650128,9047978.009259226,3438059.7822225415,4385515.426291121,30542.021660434362,0.24509859092669292,0.0006344430453421232,-1.2217545493816337e-10,-8.378022660811742e-08,4.3888576328754425e-08,73.12009464300938,55.055975527262795,0.0,61.19685267008888,53.2467109244439,0.392185210936824,13.776963606306175,0.1575853370010039,0.0,0.0,0.0,0.16188523124428703,0.0,9.083333333333334,0.4166666666666667,50367.331786350835,5250.592372091177,919.9860724646037,109458.41039481542,0.0,0.8333333333333334,0.0,0.0,3.158999295564522,0.7385868145758526,1979.9814825907304,9.5
306.0,0.0002405950140038696,3834.368384974685,22410530.120575402,70.25200726133066,1.0,2152.5,876.4166666666666,6611.666666666667,4309423.044604913,800544.1982726679,6027.229178317123,1.0,0.408039544849798,0.02,0.03,0.8250000000000001,1322.853678087609,9031.795603948813,1490897.6420495955,70980297.3568856,790.1530627491537,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,93.3386091334059,214.33131036700593,624622.691958636,9072040.509259226,3560864.87254614,4444776.584619016,30542.021660434362,0.24546875089109607,0.0006403742882755575,-1.2126596023639044e-10,-8.766073733568192e-08,4.2646812895933785e-08,72.47921565273721,55.801697903572666,0.0,64.35387497279692,53.51290476054044,0.3933595736921099,9.958203149591396,0.614742205925047,0.0,0.0,0.0,0.0,0.0,9.833333333333334,9.5,59261.158327895646,121330.64955141472,1474.4407721834166,66541.11929465055,0.0,0.0,0.0,0.0,3.1681596910287886,0.732113289421588,1997.6339936231534,19.333333333333332
307.0,0.00024130320215778154,3846.2767596895824,22326742.49782209,69.99195502669396,1.0,2174.1666666666665,876.4166666666666,6590.0,4248132.847320995,800544.1982726679,6038.570679216798,1.0,0.408039544849798,0.02,0.03,0.8250000000000001,1316.8946587596358,9022.010951953485,1430417.7751680159,71046890.66949348,790.1530627491537,426.82460188459874,542.8403214679284,159.9057719566556,159.9057719566556,96.47640516583186,215.02881094298343,626633.6593918258,9096103.009259226,3636528.0821399563,4530413.38193652,30542.021660434362,0.2381746891596415,0.0006350956119982544,-1.2217545493816337e-10,-9.239496042331059e-08,4.4354237616062164e-08,69.0525570217791,57.14418230688125,0.0,63.26002531271643,53.4753733173882,2.2927631617477604,5.620739686512029,1.9544835202866115,0.0,0.0,0.0,0.0,0.0,14.416666666666666,7.25,85636.79731750237,70026.7708853068,5636.438708511078,15075.823541181473,0.0,0.0,0.0,0.0,3.137796032425961,0.6975005759775669,2010.9674331896956,21.666666666666668
