charter,branches,balance,cash,wallet_tokens,withdrawal_cash,external_spend
310,2,9801.558540092488,0.04498233493081916,0.0,3.8912926883381713,5.848312355409354
311,0,0.0,1.0302449417380921,0.0,0.7561898797115282,1.7279469399754381
312,2,12908.653631432855,0.28104467525689714,0.0,0.0,1.720957326745105
313,0,0.0,1.4103714002318464,0.0,1.403394161874894,1.9950247636450498
314,3,10073.472565561682,0.004587143697823884,0.0,5.923467106303505,7.920881964607685
315,0,0.0,3.015964731581702,0.0,2.430885073549052,1.4169223439693523
316,2,11315.71140012308,0.07859950486749501,0.0,2.219371515547518,4.142774012682025
317,0,0.0,1.163715955685366,0.0,0.8959096931052408,1.734195739421877
318,0,0.0,2.8250644142403267,0.0,4.169339927136948,3.346277514898623
319,2,12518.927265061706,0.0007876406823210669,0.0,0.0,2.001214361319681
320,3,11629.02258168479,0.003650861488442625,0.0,4.783840466932661,6.7821916074462205
321,4,11035.632251385185,0.004044058039225695,0.0,5.709562019726472,7.707519963689248
322,2,10750.559463662528,0.07206107526989347,0.0,3.921947355100028,5.851888281832137
323,0,0.0,2.3812570672840447,0.0,2.0963475837396706,1.717092518457628
324,3,13917.959770815904,0.009013062349233159,0.0,0.0,1.992988939652769
325,0,0.0,3.2308191564471214,0.0,5.039268531129965,3.810451376684845
326,0,0.0,2.942853276349726,0.0,4.71751784880234,3.7766665744546164
327,0,0.0,3.4049106808430833,0.0,4.7303957685983,3.327487089757219
328,3,11284.525604189006,0.0028545895097707996,0.0,3.775825849679886,5.774973262172117
329,2,9801.558540092488,0.021991309633035083,0.0,3.9099443902983237,5.889955082667291
330,3,10449.73646458628,0.006103008131078752,0.0,6.138974988889195,8.134873982760118
331,3,10120.587562960494,0.00035375323009353976,0.0,4.26545052712021,6.267098775892119
332,4,12121.142734454414,0.008943490333912923,0.0,5.21944490615766,7.212503417825748
333,0,0.0,2.8801034054454817,0.0,4.209584362451369,3.33148295900789
334,0,0.0,1.5248599893593449,0.0,1.2744137629801298,1.751555775622787
335,0,0.0,2.756347641673666,0.0,4.668104459593828,3.9137588199221645
336,3,10134.248359228784,0.002108419474326717,0.0,4.186270026299817,6.186163608827493
337,4,12804.423497287971,0.009581225578357305,0.0,5.299168052687755,7.2915888291114
338,2,10750.559463662528,0.08101515489470132,0.0,3.888437535325502,5.809424382432803
339,5,12994.082176819044,0.00917040691334331,0.0,5.589435238653459,7.582266833742118
340,3,11152.485959142941,0.027905079577478842,0.0,4.214478667882895,6.188575590307417
341,3,11805.178168613946,0.0022827373783726457,0.0,4.421772729398117,6.421491994021747
342,3,8538.541918928951,0.04049233845443195,0.0,2.9683827021804605,4.929892365728031
343,2,11291.928831986123,0.05684770947533558,267.80430492337655,1.8777770021534523,3.8229312946801186
344,2,10750.559463662528,0.08428558948417453,0.0,3.8619491597496016,5.779665572267429
345,0,0.0,2.8153850940276732,0.0,4.177109203962505,3.363726111936834
346,4,11897.152484095759,0.010883160655110413,0.0,3.9768302850830692,5.9679491264299624
347,2,11315.71140012308,0.06280365366530027,0.0,2.159692192526054,4.098890540862756
348,0,0.0,3.2560674668614755,0.0,4.621299044175803,3.3672335793163297
349,0,0.0,1.7978198323673062,0.0,1.5075214515163906,1.7117036211510865
350,3,13917.959770815904,0.009334198248302616,0.0,0.0,1.9926678037536996
351,0,0.0,3.396710058927029,0.0,5.251294329769038,3.8565862728440123
352,2,9781.41834339862,0.09187313445859635,0.0,5.2205576546818975,7.130686522225304
353,0,0.0,1.4037036755603294,0.0,1.398847949158835,1.9971462756005078
354,3,12195.924230942499,0.006043004110415223,0.0,2.343068686027018,4.339027683918605
355,0,0.0,2.9615483612271665,0.0,4.33030130427775,3.3707549450525853
356,3,10823.90142223732,0.006067882074804187,0.0,4.280206774301387,6.276140894228585
357,0,0.0,2.965665664883845,0.0,2.173702652164502,1.2100389892826593
358,0,0.0,1.0685160421765976,0.0,0.8062053267387455,1.7396912865641503
359,0,0.0,3.6332951172879526,0.0,1.6545748883554097,0.023281773069459038
360,3,10916.20954867422,0.0040339560102932714,0.0,3.7336026695760665,5.731570715567775
361,0,0.0,2.979755507435298,0.0,2.323271746551827,1.3455182411185318
362,2,11291.928831986123,0.10004511761225765,0.0,1.8670772949525507,3.7690341793422943
363,3,12530.922034704558,0.006836214293106824,0.0,2.140032142674536,4.135197930383431
364,2,10262.182722044156,0.04689755813758634,0.0,3.3023307233570174,5.257435167221433
365,2,9801.558540092488,0.07916860290895444,0.0,3.9542701237695472,5.877103522862594
366,3,13917.959770815904,0.005641994810726414,0.0,0.0,1.996360007191276
367,0,0.0,2.3199919129742437,0.0,2.0335401506142627,1.7155502396420208
368,7,13621.300487404957,0.010361985609546653,0.0,3.940257639238916,5.931897655631372
369,4,11525.26195911033,0.0135474738847009,0.0,3.9059042633464105,5.894358791463712
370,2,10750.559463662528,0.07094116719478749,0.0,3.785102896426706,5.716163731233921
371,0,0.0,1.201073084267395,0.0,0.945075041329569,1.7460039590641763
372,2,9801.558540092488,0.00847601204792614,0.0,5.843653013401999,7.837179003356074
373,3,11788.974464910241,0.005483117672766102,0.0,4.4042764316108975,6.400795315940134
374,2,10750.559463662528,0.07412169780363542,0.0,3.8586745997845626,5.786554903982929
375,4,11929.95438240124,0.012181011309960244,0.0,3.958433524406364,5.948254515098406
376,2,10750.559463662528,0.09778839232497369,0.0,3.917544918136409,5.821758527813438
377,3,11931.888510917528,0.002572159376156624,0.0,2.099882504399802,4.099312347025648
378,4,11799.805726960669,0.005400898375339219,0.0,5.225052751616067,7.221653855242731
379,2,11291.928831986123,0.05381373888061178,135.1239989134283,1.820612116325128,3.7688003794465184
380,2,10750.559463662528,0.07913715370587693,0.0,3.2477088132015797,5.170573661497706
381,2,11876.895208074493,0.05944396368273808,0.0,1.3703418416853037,3.3128998800045677
382,3,10608.656407685394,0.009840149609584598,0.0,5.123613369812492,7.115775222204909
383,4,11431.411559979912,0.010516792866659602,0.0,3.4751387836876892,5.466623992823032
384,0,0.0,2.996083673770904,0.0,2.3713175804658384,1.3772359086969366
385,2,11876.895208074493,0.0647687846908721,0.0,2.223615371129936,4.160848588441065
386,2,11876.895208074493,0.057494782293459945,0.0,1.37453053785488,3.3190377575634225
387,0,0.0,3.2411935412443182,0.0,4.619008413777983,3.379816874535667
388,2,11291.928831986123,0.0486060787715053,135.1239989134283,1.8171973565906228,3.7705932798211195
389,3,12883.34116920194,0.006956096163564018,0.0,1.5172124865745444,3.512258392412982
390,2,10750.559463662528,0.08601901740751322,0.0,3.9113727532890152,5.8273557378835035
391,3,11960.246953173782,0.006551951690026869,0.0,2.0038168500089886,3.999266900320964
392,0,0.0,2.9652528271762817,0.0,2.3845030433518604,1.4212522181775809
393,2,10772.812775755207,0.0160034126894111,0.0,4.255325931613543,6.241324520926134
394,2,10772.812775755207,0.01847893509644803,0.0,1.9100184020349933,3.893541468940547
395,0,0.0,3.03425400242054,0.0,2.244593253043804,1.2123412526252662
396,2,11291.928831986123,0.0010855118780433992,267.8043049215139,1.8343678613295469,3.835284351453505
397,3,10581.211744912162,0.005726143781649429,0.0,3.745352982914128,5.741628841134481
398,3,11694.631212318192,0.005791029719253993,0.0,5.468654939826256,7.464865912109004
399,3,11570.603344223864,0.0007903170501354605,0.0,2.0060130208110696,4.007224705762936
400,0,0.0,3.2804654060932874,0.0,4.660673506867024,3.3822101027757387
401,2,10262.182722044156,0.05874042202256602,0.0,3.5198921473076097,5.463153727287045
402,0,0.0,2.6363734263120855,0.0,6.075499065378509,5.441127641068425
403,2,10750.559463662528,0.0497210772022012,0.0,3.7611776965816803,5.7134586213814815
404,0,0.0,2.8387422138653156,0.0,4.222057760538751,3.3853175486754363
405,2,10262.182722044156,0.0730576736613946,0.0,3.5496226758512144,5.478567004191822
406,3,11772.902345807379,0.0048064130097473234,0.0,2.0584923139667897,4.055687902959045
407,0,0.0,1.69472077010958,0.0,1.4300516260837686,1.7373328579761906
408,0,0.0,2.9484393342349553,0.0,2.291771656791534,1.3453343245585807
409,4,10763.093438792277,0.0008137913245765682,0.0,3.417585552823657,5.418773763501083
410,3,10540.857234281897,0.003633336101403123,0.0,3.559811859275687,5.558180525176286
411,4,11864.876661289194,0.0037200290581487216,0.0,3.8358717818857984,5.834153754829652
412,0,0.0,2.9773866321555857,0.0,4.76689094279051,3.791506312636926
413,3,11056.055626959867,0.001587857445717239,0.0,1.8416775071679057,3.8420916517241905
414,2,11903.16809748234,0.061412202184019216,0.0,0.0,1.940589799817983
415,3,10148.032225733727,0.0021852682697840464,0.0,4.219196169470378,6.219012903202597
416,0,0.0,1.8049339391219177,9.094947017729282e-13,1.513100532528465,1.7101685954085495
417,0,0.0,3.0177510812619692,0.0,4.405736942442718,3.3899878631827516
418,2,11291.928831986123,0.020606320875934316,267.8043049215139,1.8599948829498771,3.8413905640759447
419,4,11929.95438240124,0.017223053254389553,0.0,3.85564623147261,5.8404251802202225
420,2,9801.558540092488,0.03765459318927378,0.0,3.6887800096499084,5.6531274184626366
421,4,11946.52635209821,0.001887681102010208,0.0,3.5884645684756835,5.5885788893756745
422,3,11788.974464910241,0.00855287702198812,0.0,4.444764583648475,6.4382137086284885
423,3,7914.281296526033,0.09057541848122924,0.0,5.775316899152953,7.686743482673727
424,0,0.0,2.9568962430526,0.0,2.3785196906485995,1.423625449598002
425,4,11880.948780392055,0.009810966832134033,0.0,3.992565230441678,5.984756265611546
426,2,11315.71140012308,0.08921344616818061,0.0,2.2374180834478827,4.150206639281704
427,0,0.0,2.950298687056943,0.0,2.167991310600346,1.2196946255454053
428,2,11876.895208074493,0.051392503559584246,0.0,1.3751445758876435,3.325754074330061
429,2,11876.895208074493,0.08863463154543016,0.0,1.404769322394477,3.318136692851049
430,2,9801.558540092488,0.06447104183016261,0.0,3.931911594581843,5.869442554753682
431,3,11524.317229297198,0.06882883212134683,0.0,3.4445636880338952,5.377736857914551
432,0,0.0,3.1144320376673345,0.0,4.908958874182435,3.7965288385171028
433,3,10134.248359228784,0.00748519013263807,0.0,3.6391690333280713,5.633685845197435
434,0,0.0,3.0449648449796833,0.0,2.2583833911108013,1.2154205481331202
435,2,11876.895208074493,0.011299614205191322,0.0,2.00082386178924,3.991526249586051
436,0,0.0,1.6114710284699012,0.0,1.3626158994152455,1.7531468729473465
437,2,10750.559463662528,0.09129916647175595,0.0,3.8873627840995866,5.798065619629833
438,3,11945.955658616187,0.008509478008020155,0.0,2.1503330154482954,4.143825539442277
439,3,10916.20954867422,0.001840015460700145,0.0,3.7817526785648257,5.781914665106128
440,3,11486.699710705218,0.042896203453047455,0.0,5.290489139082338,7.249594937631293
441,3,11152.485959142941,0.01457194043574378,0.0,3.8541431801619455,5.841573241728204
442,2,9801.558540092488,0.05743136504942492,0.0,3.7214256697433212,5.665996306695899
443,3,10916.20954867422,0.006907909668492723,0.0,3.860463273391524,5.8555573657250335
444,0,0.0,7.773148287928121,0.0,5.903776070131007,0.1326297842048883
445,2,11876.895208074493,0.06922963671384907,0.0,2.062306292621961,3.995078657910114
446,2,9801.558540092488,0.10029805861200414,0.0,3.742188722881365,5.643892666271363
447,0,0.0,2.939629878987331,0.0,2.158479717180926,1.2208518401955974
448,2,11876.895208074493,0.10443317116160955,0.0,1.4236246993776511,3.3211935302180438
449,3,11583.983054149185,0.004143818202856947,0.0,2.023283961601446,4.021142145400591
450,0,0.0,1.1912934595489992,0.0,0.9203585678370291,1.7310671102900321
451,3,10120.587562960494,0.00156803647381612,0.0,3.819496183392739,5.819930148920925
452,0,0.0,1.4259836283397198,0.0,1.4179469014438382,1.9939652751061205
453,3,10554.236944207218,0.0050869857604276675,0.0,3.6111043766349846,5.608019392876559
454,0,0.0,2.799000167139251,0.0,6.266965377122556,5.469967211985307
455,0,0.0,3.287170267725315,0.0,4.694979649802908,3.409811384079595
456,0,0.0,13.452633556035607,0.0,13.265414451277593,1.8147828972439872
457,3,10594.872541180452,0.008636182952970944,0.0,3.7817859628748733,5.775151781923904
458,0,0.0,2.9633618802389337,0.0,4.797837015020577,3.8364771367836457
459,2,10750.559463662528,0.024955520855350022,0.0,3.773995337980459,5.751041819127111
460,0,0.0,2.952658032572085,0.0,2.3019774657404923,1.35132143517041
461,3,12182.391371371832,0.003367780924884059,0.0,2.129433603506959,4.128067824584076
462,3,11945.955658616187,0.005824639094078862,0.0,1.965894115813944,3.962071478721867
463,2,11291.928831986123,0.01636398697921844,267.8043049252392,1.865894086742228,3.851532101765012
464,4,12489.458789969163,0.003892145394893215,0.0,5.331010802434911,7.3291206590420215
465,0,0.0,2.955589375568607,0.0,2.1701668296318166,1.2165794560652117
466,0,0.0,2.944707148753385,0.0,2.1672174958361303,1.2245123490847478
467,2,10750.559463662528,0.06870948263403398,0.0,3.8682149464568374,5.801507465824805
468,3,13562.68045806292,0.0932366202753386,0.0,0.0,1.9087653817266637
469,3,12223.368893715731,0.0003638976255211368,0.0,2.144402428667827,4.1460405330443075
470,2,11876.895208074493,0.04722911191192458,0.0,1.3691206012420298,3.3238934913321074
471,0,0.0,2.3002039486189396,0.0,2.016066384511878,1.7178644378949406
472,3,10808.004501219917,0.005277935760158753,0.0,4.15292805429216,6.149652120534006
473,4,11786.144930692379,0.004408791396354417,0.0,5.240268580983238,7.237861791588885
474,3,13917.959770815904,0.0022806429896802816,0.0,0.0,1.9997213590123217
475,3,13282.11796343748,0.00011622419687384866,0.0,2.3102663878004748,4.312152165605603
476,3,11506.05033394607,0.047986124615509995,0.0,3.438187204425531,5.392203081812022
477,3,11056.055626959867,0.0018096752048736287,0.0,4.104174960738865,6.104367287535993
478,2,10750.559463662528,0.0771528091474819,0.0,3.27510488384255,5.199954076697071
479,2,11291.928831986123,0.0032256346568839828,267.8043049252392,1.8564687794268047,3.855245146771923
480,0,0.0,3.0130154126897204,0.0,2.233411125940529,1.2223977152528105
481,0,0.0,2.9572446367329226,0.0,2.178026752791857,1.2227841180609367
482,0,0.0,2.9958230941984687,0.0,2.3845081279683926,1.3906870357719268
483,0,0.0,3.384178973285061,0.0,4.971164266394044,3.588987295110986
484,3,12516.854887005898,0.0015627998115573805,0.0,2.156533663197097,4.156972865387542
485,3,11788.974464910241,0.004408554169132384,0.0,2.0859871739668687,4.083580621799738
486,2,11876.895208074493,0.09377497247935429,0.0,2.1012308259860584,4.009457855508706
487,0,0.0,2.9918999732196467,0.0,2.208410581238513,1.2185126100208683
488,3,11467.115907824373,0.08850665866695828,0.0,5.222111572371077,7.135606915706122
489,3,12545.213329262153,0.011079447185257246,0.0,2.185574550497522,4.176497105314267
490,3,12168.949430237555,0.0052690931410061675,0.0,2.2159388027214844,4.212671711582481
491,3,9446.084186582015,0.05172399034506814,0.0,5.308700063687679,7.258978075344614
492,2,11876.895208074493,0.021687258894810713,0.0,2.027301234701363,4.007615977808554
493,3,12209.58502721079,0.0010913363520834996,0.0,2.1478070008907615,4.14871766654068
494,4,11152.485959142941,0.0011295317359567708,0.0,3.5032772977155218,5.504149767981567
495,3,12559.623388040449,0.009973824944724097,0.0,1.5100487884054927,3.50207696546277
496,5,13472.741618475617,0.00926229775612536,0.0,3.4580296948298472,5.450769399075725
497,0,0.0,31.246379744367907,0.0,29.377062608220985,0.13268486585508005
498,2,11876.895208074493,0.043113073558570525,0.0,2.103522734381313,4.062411662824744
499,0,0.0,1.2223776190445679,0.0,0.9703424603965869,1.7499668433540212
500,3,11524.638591960747,0.005313871289658323,0.0,3.47178364550763,5.468471776219975
501,0,0.0,33.8446233127312,0.0,31.91459077701847,0.07196946628927503
502,4,11189.007464785636,0.005026664037945661,0.0,3.489680785839837,5.486656123803893
503,3,10484.286720058444,0.0016827955238381542,0.0,3.8571347984835755,5.857454004961739
504,2,10262.182722044156,0.07198280195297224,0.0,3.5131521707596858,5.443171370808716
505,3,10750.559463662528,0.0006291766136965887,0.0,1.8426476227146575,3.8440204481029627
506,0,0.0,2.9366968306649186,0.0,2.286229199593481,1.3515343709305643
507,3,11524.638591960747,0.0042740165448743594,0.0,3.4787947813469327,5.47652276680406
508,5,18853.680382859297,0.011386319567274539,0.0,3.6107945159747667,5.601410198409495
509,2,9801.558540092488,0.016864317484586833,0.0,3.7346136135437424,5.7197512980611585
510,2,23188.19883198609,0.009950116951216142,267.8043049252392,1.8682616289746965,3.8603135140254823
511,3,11524.317229297198,0.0268538039731111,0.0,3.4159754194323613,5.391123617461252
512,0,0.0,1.9650240993814962,0.0,1.6770321351657684,1.7140100377862744
513,3,12915.310209322206,0.00655128405793079,0.0,1.5465517220035143,3.5420024399475856
514,3,10916.20954867422,0.006170124607615041,0.0,5.0630773339677395,7.058909211362126
515,3,7593.094979810247,0.0033103680612077135,0.0,5.863293553743533,7.861985187684327
516,2,9801.558540092488,0.06077981710625524,0.0,3.7764221143943177,5.717644299290065
517,2,10750.559463662528,0.050795426581648095,0.0,3.4641463680594553,5.415352943479809
518,3,11056.055626959867,0.0017378659613297015,0.0,4.185539020769975,6.185803156810647
519,0,0.0,1.4140884781189325,0.0,1.4039353045371898,1.9918488284202598
520,0,0.0,1.5941300057415848,0.0,1.3405080759574866,1.748380072217904
521,0,0.0,1.4812907408510503,0.0,1.2025712170318184,1.7232824781827702
522,0,0.0,2.98162042267477,0.0,2.1989073237027332,1.2192889030299656
523,3,12530.922034704558,0.007885734628082952,0.0,2.1831472808701253,4.177263548244045
524,4,11279.080581895234,0.0027609486635553626,0.0,5.331444313314259,7.330685366652705
525,0,0.0,2.9842498242139905,0.0,2.406453010397163,1.4242051881851743
526,3,13900.609530782507,0.026564981582015867,0.0,0.0,1.9754370204199863
527,3,12111.836335807628,0.0010960809898502566,0.0,3.284569502752256,5.2854754237644075
528,0,0.0,1.470966392215284,0.0,1.2165518860612428,1.747587495847961
529,3,10594.872541180452,0.002928473228970635,0.0,3.754079556050219,5.75315308482325
530,3,13900.609530782507,0.02342724878880309,0.0,0.0,1.978574753213199
531,2,11315.71140012308,0.0009889340993103346,0.0,2.0274613414772285,4.02847440937992
532,2,11315.71140012308,0.011245825749174099,0.0,2.044334400451553,4.0350905767043805
533,2,11315.71140012308,0.01657137671205744,0.0,1.9908937435893765,3.9763243688793213
534,0,0.0,2.9820613671135847,0.0,4.771133424519862,3.7910740594082792
535,0,0.0,3.017180788288566,0.0,2.235630948130847,1.2204521618442832
536,0,0.0,2.835938565885071,0.0,4.556913733930436,3.7229771700473684
537,0,0.0,2.961421539133957,0.0,2.3851986855285485,1.425779148396594
538,0,0.0,1.0320621775069228,0.0,0.7564501928541858,1.7263900173492652
539,3,12182.391371371832,0.0023726876764513655,0.0,2.142944180378763,4.1425734947043145
540,4,11134.588001307462,0.005523799659832948,0.0,3.780100336494697,5.7765785388368664
541,2,12908.653631432855,0.2607357607358791,0.0,0.0,1.741266241266123
542,3,11805.178168613946,0.007835032011666299,0.0,2.1292713737671694,4.123438343757505
543,2,11876.895208074493,0.09351565726441002,0.0,1.4201257866537798,3.3286121313913717
544,2,10750.559463662528,0.09096379254486145,0.0,3.510042842255252,5.4210810517123935
545,0,0.0,3.2858643046631615,0.0,5.014476980660338,3.7306146779991787
546,3,13265.02460542802,0.0034399823826000153,0.0,2.30591290904661,4.3044749286660124
547,2,11291.928831986123,0.045078285628647574,0.0,1.828617418271151,3.7855411346445056
