scenario,hour,elapsed_days,timestamp_utc,price_ETH,price_ratio,cumulative_buy_ETH,cumulative_sell_tokens,remaining_recent_seller_tokens,remaining_dormant_tokens,remaining_repeat_cash_budget,ETH_error,token_error
renewed_entry,2,0.08333333333333333,2026-09-16T02:44:57+00:00,0.00010979741416496212,0.9904830860300148,162.18117383637951,1629386.310805507,2163634.030998201,49249011.535419166,58.33908971036534,-5.115907697472721e-13,3.725290298461914e-09
renewed_entry,3,0.125,2026-09-16T03:44:57+00:00,0.00010931038682455338,0.986089609673784,243.27176075456927,2444079.4662082605,1859727.696536436,48738224.71447818,43.754317283410714,-5.400124791776761e-13,7.450580596923828e-09
renewed_entry,4,0.16666666666666666,2026-09-16T04:44:57+00:00,0.00010884826093039326,0.9819207694031525,324.36234767275903,3258772.621611014,1555821.3620746708,48227437.89353719,29.169544856456085,-1.1368683772161603e-13,3.725290298461914e-09
renewed_entry,5,0.20833333333333334,2026-09-16T05:44:57+00:00,0.00010840983047677212,0.9779656858338822,405.45293459094876,4073465.7770137675,1251915.0276129057,47716651.07259621,14.584772429501458,3.410605131648481e-13,0.0
renewed_entry,6,0.25,2026-09-16T06:44:57+00:00,0.00010799380033525181,0.9742126756051037,486.5435215091385,4888158.932416521,948008.6931511406,47205864.25165522,2.5468303022080363e-09,-1.1368683772161603e-13,1.1175870895385742e-08
broader_holder_exit,0,0.0,2026-09-16T00:44:57+00:00,0.00011085238679344284,1.0,0.0,0.0,2771446.699921732,50270585.17730114,87.5086345642746,0.0,0.0
broader_holder_exit,1,0.041666666666666664,2026-09-16T01:44:57+00:00,0.0001046328838556586,0.9438938292833209,42.235820550080305,1325479.9763437416,2467540.3654599665,49249011.53541916,72.92386213731997,1.5631940186722204e-13,1.862645149230957e-09
broader_holder_exit,2,0.08333333333333333,2026-09-16T02:44:57+00:00,9.89445312878682e-05,0.892579169019038,84.47164110016061,2650959.9526874833,2163634.030998201,48227437.89353718,58.33908971036534,3.126388037344441e-13,0.0
broader_holder_exit,3,0.125,2026-09-16T03:44:57+00:00,9.379561513270505e-05,0.8461307676439968,126.70746165024092,3976439.929031225,1859727.696536436,47205864.2516552,43.754317283410714,4.689582056016661e-13,1.862645149230957e-09
broader_holder_exit,4,0.16666666666666666,2026-09-16T04:44:57+00:00,8.915826777896621e-05,0.804297231281989,168.94328220032122,5301919.905374967,1555821.3620746708,46184290.60977322,29.169544856456085,1.7053025658242404e-13,3.725290298461914e-09
broader_holder_exit,5,0.20833333333333334,2026-09-16T05:44:57+00:00,8.496862376150079e-05,0.7665024292154156,211.1791027504015,6627399.881718708,1251915.0276129057,45162716.96789124,14.584772429501456,3.410605131648481e-13,5.587935447692871e-09
broader_holder_exit,6,0.25,2026-09-16T06:44:57+00:00,8.117232175485369e-05,0.7322559676239214,253.4149233004818,7952879.85806245,948008.6931511406,44141143.32600926,2.5468267494943575e-09,5.115907697472721e-13,0.0
