hour,price,price_ratio,pool_principal_eth,wallet_100k_exit_eth,vault_eth,pending,branches,outside_pool_token_bound,eth_error,token_error,total_buy_spend_eth,speculative_buy_eth,pool_buy_principal_eth,pool_sell_eth,buyback_eth,license_buy_eth,licenses,gross_withdrawn,net_withdrawn_tokens,unsold_requested_tokens,buy_tax_eth,lp_buy_eth,elapsed_days,timestamp_utc,scenario
19.25,8.709588044402672e-05,0.7608970042684404,1983.396905935738,8.339668409344828,111.7189937774005,1887459.4099993594,1099,63479419.57858598,9.549694368615746e-12,4.470348358154297e-08,676.3130931444155,676.3130931444155,656.1589629687116,1097.5197724442592,0.0,0.0,0,0.0,0.0,0.0,13.526261862888285,6.627868312815271,0.8020833333333334,2026-09-16 18:00:58 UTC,Selling halves every 6h
19.5,8.738405597978818e-05,0.7634145963835492,1988.319038780132,8.367222069561974,111.7189937774005,1894751.0766660261,1099,63535424.70629276,1.000444171950221e-11,4.470348358154297e-08,685.096380068369,685.096380068369,664.6805079423312,1101.1191845734852,0.0,0.0,0,0.0,0.0,0.0,13.701927601367354,6.713944524670015,0.8125,2026-09-16 18:15:58 UTC,Selling halves every 6h
19.75,8.767803779796687e-05,0.7659829140080012,1993.331988931593,8.395330689573877,111.7189937774005,1902042.743332693,1099,63592291.58909299,9.777068044058979e-12,4.470348358154297e-08,693.8796669923224,693.8796669923224,673.2020529159508,1104.6277793956435,0.0,0.0,0,0.0,0.0,0.0,13.877593339846422,6.8000207365247585,0.8229166666666666,2026-09-16 18:30:58 UTC,Selling halves every 6h
20.0,8.797766478973375e-05,0.7686005496443951,1998.4332825785457,8.423982531111873,111.7189937774005,1909334.4099993596,1099,63649982.29143431,1.000444171950221e-11,2.9802322387695312e-08,702.6629539162759,702.6629539162759,681.7235978895704,1108.0480307223106,0.0,0.0,0,0.0,0.0,0.0,14.05325907832549,6.886096948379502,0.8333333333333334,2026-09-16 18:45:58 UTC,Selling halves every 6h
20.25,8.828277376590861e-05,0.7712660776207276,2003.620522311729,8.453161185232455,111.7189937774005,1916626.0766660264,1099,63708460.112455904,1.000444171950221e-11,4.470348358154297e-08,711.4462408402294,711.4462408402294,690.24514286319,1111.382335962747,0.0,0.0,0,0.0,0.0,0.0,14.22892481680456,6.972173160234246,0.84375,2026-09-16 19:00:58 UTC,Selling halves every 6h
20.5,8.859334231136474e-05,0.773979302111402,2008.8913841745914,8.482855607352317,111.7189937774005,1923917.7433326931,1099,63767689.45216332,1.0231815394945443e-11,4.470348358154297e-08,720.2295277641829,720.2295277641829,698.7666878368096,1114.6330190735046,0.0,0.0,0,0.0,0.0,0.0,14.404590555283628,7.05824937208899,0.8541666666666666,2026-09-16 19:15:58 UTC,Selling halves every 6h
20.75,8.890926335624558e-05,0.7767392877204764,2014.2436165218442,8.513061059963706,111.7189937774005,1931209.4099993599,1099,63827635.81786086,1.0459189070388675e-11,4.470348358154297e-08,729.0128146881364,729.0128146881364,707.2882328104292,1117.8023316998715,0.0,0.0,0,0.0,0.0,0.0,14.580256293762696,7.144325583943734,0.8645833333333334,2026-09-16 19:30:58 UTC,Selling halves every 6h
21.0,8.923043339895056e-05,0.7795451302254159,2019.675037274044,8.543768132790984,111.7189937774005,1938501.0766660266,1099,63888265.810763866,1.0231815394945443e-11,4.470348358154297e-08,737.7961016120898,737.7961016120898,715.8097777840488,1120.8924559212912,0.0,0.0,0,0.0,0.0,0.0,14.755922032241765,7.230401795798477,0.875,2026-09-16 19:45:58 UTC,Selling halves every 6h
21.25,8.955675235379177e-05,0.7823959552461729,2025.1835313121458,8.574967245316484,111.7189937774005,1945792.7433326934,1099,63949547.09388644,1.0459189070388675e-11,5.960464477539063e-08,746.5793885360433,746.5793885360433,724.3313227576684,1123.905506856809,0.0,0.0,0,0.0,0.0,0.0,14.931587770720833,7.316478007653221,0.8854166666666666,2026-09-16 20:00:58 UTC,Selling halves every 6h
21.5,8.988811872516818e-05,0.785290876085255,2030.7670481431658,8.606649032182283,111.7189937774005,1953084.40999936,1099,64011448.36364407,1.0459189070388675e-11,5.960464477539063e-08,755.3626754599968,755.3626754599968,732.852867731288,1126.8435349994088,0.0,0.0,0,0.0,0.0,0.0,15.107253509199902,7.402554219507965,0.8958333333333334,2026-09-16 20:15:58 UTC,Selling halves every 6h
