charter_id,owner,branches,pending_tokens
253,0x74fc2d23c2243cfa55ddf02ec2ce53176bfac782,1,630.2592838398112
254,0xfca59912c05b08561077416ee4405541b5566666,1,630.2592838398112
255,0xc8c7a603de16d9f91490b72fe3f6d5bc0d1affad,1,630.2592838398112
256,0xc1274a4e12d8cf74295ff215440f2b966bd61854,1,630.2592838398112
257,0x470faf7c48203276ecd3ff1f3c43894f66288574,1,630.2592838398112
258,0x2820930e1f7bbf5af46602b37941ee51a31e6cd9,1,630.2592838398112
259,0xc23f4ed7e1f2c65b3cf63ad6bae580f0244afd43,1,630.2592838398112
260,0xa973670e5156162ef520ae5c60b8d88172f8c01e,1,630.2592838398112
261,0xf15586147edb63ff2bd6de58f4b35f5f05874ba4,1,630.2592838398112
262,0xbebcf96eeed98d495f45407ce7017179738e3552,1,630.2592838398112
263,0x5f350bf5fee8e254d6077f8661e9c7b83a30364e,1,630.2592838398112
264,0x6ba9ad599e6271252817933831e3148936cf742a,1,26550.89928383981
265,0x5d802e2fe48392c104ce0401c7eca8a4456f1f16,1,630.2592838398112
266,0xd796bd30280ac676a1a2f01b3c0279f786ed33c0,1,630.2592838398112
267,0x0993aef44c8aa7d21093115275194c8cc483f326,1,630.2592838398112
268,0xad468e8336182e2cec7022f3434f91227c33a723,4,8717.85228644575
269,0xc47316a2708ff27f75592eec0ae30b205b44dc2f,1,630.2592838398112
270,0xae79f0562c2128cc12d0ac068ac288856fe0e1ab,1,630.2592838398112
271,0x6b4e2894b395535440d2e58166361ddf7e92bee3,1,630.2592838398112
272,0xf9102e3b05eb6f26c300df9e21bdd3f3b40d329b,1,630.2592838398112
273,0xafbc3f98eedb5f9a25a4ab2232d1346612efe77c,1,630.2592838398112
274,0x3ed5f464a3cd3c5f0c011a6977e2117d3d730119,1,630.2592838398112
275,0xb6ae6a82176743ca79000910e9b297380a37fa58,1,630.2592838398112
276,0x5c04911ba3a457de6fa0357b339220e4e034e8f7,1,630.2592838398112
277,0xc091c59489accde50de0ccdf1eddf6c5e5257678,1,630.2592838398112
278,0xef7f2e81ea14538858d962df34eb1bfda83da395,1,630.2592838398112
279,0x71725998422d362e7e65f12ede6040d4772297bf,1,630.2592838398112
280,0x294c2f4a67011db2f7a6c6f3b14adda7cde653b4,1,630.2592838398112
281,0x958d6da62ce533f128c070fe096cd0653efb9a98,1,630.2592838398112
282,0xfdab4a409589b2efa642b43114d3af136612ccf2,1,630.2592838398112
283,0x6927b6acfa57cf63a9a4b72a1779ca35f6b47709,1,630.2592838398112
284,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,1,630.2592838398112
285,0xfefe31009b95c04e062aa89c975fb61b5bd9e785,1,630.2592838398112
286,0xe9e7d631699696a60964b780d4e721595d78efa1,1,630.2592838398112
287,0x4f50ff22544815fb91a830a8ab01d95f115bae49,1,630.2592838398112
288,0x304478ccb265a3f1771b259f37861f02cbd5b7bf,1,630.2592838398112
289,0xbbfd5b62d83554c57674b27aee5b8a5228ded5a5,1,630.2592838398112
290,0xa8efd8f67787179f970025b18fdce37cc74d982e,1,630.2592838398112
291,0x6a788ebf59b7b748dc989c75b8c8372edde554c0,1,630.2592838398112
292,0x9b535d0e815a1118ac76a625a5ea11ce071b3590,1,630.2592838398112
293,0xf2d6657046fc5171754c620db8a013bc54ad0d60,1,630.2592838398112
294,0xeed8ca64b4e20b01de27ae53ff7593554ee36cf2,1,630.2592838398112
295,0x18b16f1ca1dc604d74d4a4a64496e04e96cf3204,1,630.2592838398112
296,0x595dbe2c82daee2b9f8870d5bd66c8f65bbf342f,1,630.2592838398112
297,0xe8802b2620357d32bb56f7cd12a835d672c16b93,1,13730.259283839812
298,0xcd9aa0f51ae128575af8b62e14c5b2e2baf8a153,2,13146.609775176194
299,0x6e6ed64ab485b3082c2d08925bf14107e4b4558b,1,630.2592838398112
300,0x11ec1bd59efc667c5d9bbb5b5cd365dec8dee2cb,1,630.2592838398112
301,0x6b2040a50140fb412e3e8a71124b004f89356f96,1,630.2592838398112
302,0xe3d3f3e3c07b0f0f458609b5b33c9f75e4e4baeb,1,630.2592838398112
303,0x497d32a3f4e9a4aced0a485c905a167b0517fe0d,1,630.2592838398112
304,0xdcfc30125bdf514b7c434f9868783c7b48d7a3bc,1,630.2592838398112
305,0x034530a8237780b64bf800eef6b9c379cc8cda4f,1,630.2592838398112
306,0x73590e94973f18f3b8715c2a852f3c13db42af2f,1,630.2592838398112
307,0xf0add48152127e2f2cd3e51d1ad530cad8c864d2,1,630.2592838398112
308,0x9f84fcd4528e85301892b7396cb50408ac56e7ee,1,22917.259283839812
309,0xfe66df936fd4f63a8007c9fb3ce3c562f474115d,1,630.2592838398112
310,0x49af885ed4605d00a41949473fbe722d909d2bdc,1,630.2592838398112
311,0xac52e8647f2b31f108ce24ece00fb71f84be5e71,1,630.2592838398112
312,0x07405f0daae4e5e1b14c97fe3085f036bb45ad44,1,630.2592838398112
313,0xbfa2776f36b12fe35ba9ebd0112afc7d1020eddd,1,630.2592838398112
314,0xa569d71b0b875eb1e7b9c674bc9e74956b55e836,1,630.2592838398112
315,0x9663eb24f437a358eb9d0ba9e090174bdbb6e0e3,1,630.2592838398112
316,0x48aae1669d4cf7988a227b3d68d9d6e9f02840ee,1,1530.2592838398114
317,0x94b062d2b0732aa31d1181747bf475f4eb0ab339,1,630.2592838398112
318,0x9c7a9841ee6838698e9e803f11b73f9169e4ed3a,1,630.2592838398112
319,0x80b45fc33483d5a6803f3fedb7ce3632025d3828,1,630.2592838398112
320,0x7fed61bf417ccb1a51272b85a32265d80bf64aa2,1,630.2592838398112
321,0xa5fefa06e3213483b1046863f519105580b19ee7,1,630.2592838398112
322,0xb553f88872f25ea3665b034df1e0f07083904c3f,1,630.2592838398112
323,0xc11e4e2d66386679945d0509f6f0abe68f5e2db5,1,630.2592838398112
324,0x01467c420df8d9556fe5dbbf02b0c25c42226558,1,630.2592838398112
325,0xa3b1e5babebf70984429b6503e5cdb583111bc18,1,630.2592838398112
326,0xa2f64ede5fb760498bc500306b3833c479e34211,1,630.2592838398112
327,0x90acce2b0a877e28aeca21a76838f6af1d2544fe,1,630.2592838398112
328,0xb415feaea73a5e716622ac58b41887a00be4e069,1,630.2592838398112
329,0xfed611e2460e497effe263e8bdf8aea9dc450f4f,1,630.2592838398112
330,0x4e9422b0c626ed679344422409a51a200355e4e8,1,630.2592838398112
331,0xfcc81831f4a866fc9555c3c918590739e12bfb70,1,630.2592838398112
332,0xf24022ba0fea5926d30fba8fece6d7a852732989,1,630.2592838398112
333,0xf65fe49d4f6afdd452a5cb428f2dde758f82773c,1,630.2592838398112
334,0x1eca7cfc1efe53c43be6209fc7f0d96c62b6a73b,1,630.2592838398112
335,0x57e48e02fc3e96b6421fc1d36ff04bfd53cef5c3,1,630.2592838398112
336,0x62d3c2a80d3cce916b9b645cbcda14d35418275c,1,630.2592838398112
337,0xe2b0b23c3adf35d0a25dc702333f59eb7633d707,1,630.2592838398112
338,0xa60c0c90325c87ce9c4618c3aa361ebc5dc4ba9a,1,630.2592838398112
