address,sold_tokens,sell_pool_ETH,remaining_tokens,currently_empty
0x45f498e2545ab7df017f073d0f824f130ed9412c,110.65319414910138,0.011322000742027943,0.0,True
0x4ba5f32b3c29b2f609b6542c7f81fcc653479873,604.366823826558,0.06273554354916311,0.0,True
0x4aa0ef835b790fa45bf8af500245e482f59e6537,217.525924626062,0.022178478676069556,0.0,True
0x520d62d4942193102353b381d5afe25ecc502d52,12209.959124465342,1.258559459132907,0.0,True
0x0ce86c68da81e719949be022b3d9934615f9fdd2,31096.59833556578,3.202380398383271,0.0,True
0x05583a1597de1b5589f0b151e7b93d0f489e01b8,3030.027360056109,0.31475601716606927,0.0,True
0x0b65bca644e2d8eb83db69e8439d731e3a24b968,657.1033402438925,0.0682923266661887,0.0,True
0x5b3fcc404c541491b5c9662d95fb9cd905f21661,4331.13865757283,0.445641035242817,0.0,True
0x59107cd3c95e479096c8fa42b41c12e4b8a91a5d,14992.418032650425,1.547043075354151,0.0,True
0x57c5c112da1a7e56c1becc7bd439f980e1d6cfe0,1749.701624645308,0.18060037986064129,0.0,True
0x65e635f88d7c0d522fee14d504a0cf5bbcb94140,20056.883521021366,2.0714437656175417,0.0,True
0x85abb63d2fe9814443f841c2aa995d4dbaed3b86,7138.93749314864,0.7417889465810459,0.0,True
0x8832e2ac20bb587bd16cc38b30017461d7d752e3,632.6363825450536,0.06570701404782713,0.0,True
0x6bf23d9f676ec7d22ce6d76c075d38d5834d3fef,381.5073457349272,0.03922175346685252,0.0,True
0x6a23e5620c64f4ee58c3cc02c8cafabfe58f5946,665.5308872772298,0.06785450382115334,0.0,True
0x899536723a207aa8e41c3fc7019407f2a52e7ecf,15940.627595769387,1.6326220305606334,0.0,True
0x88f5a9430968ca0abbe1bc662fa963cae1dc4a77,12143.223717228677,1.2660742525490627,0.0,True
0x966832b9a78e5c47676242a0f09af9242c74d500,4523.300411450876,0.46208599713394355,0.0,True
0x8d867c57520dd10558231354495c804f38317485,2796.3405777115036,0.29166939135001596,0.0,True
0x9b8916c133c1c5ab2f358a26cbd9fc581d2b26e5,4331.010773548286,0.445420437601598,0.0,True
0x9c590a19326575509977353192005628d2ea5ffc,1379.8444298512513,0.14101651550489058,0.0,True
0xa750477ae87082726cab101cb94478869c2bb621,4331.0094145063895,0.44552399860039954,0.0,True
0x7fcfaccad8a693349253f9d104d41613617515fa,8687.3768651375,0.8913471683459734,0.0,True
0xafa7a7bcd846698be2990a78aee7c979880b5d81,17043.90618865787,1.7393937283505592,0.0,True
0xb85f0e5f8b72cf5c81d82f7fc6c35703f5d229ad,88.85979642113045,0.009223807586953256,0.0,True
0xc15add28fa8cba4a09ec79f745e471b8528fca2a,5066.961412706272,0.5183779881582614,0.0,True
0xbf56d3dc8e68f39d31a3817a5aa9cbc71458d078,5382.891527463678,0.5624626675636183,0.0,True
0xc3ea51fa7e72882d1947597c6e05f928d4742807,78320.83882385792,8.11266886662395,0.0,True
0xc5639b1e83a610c0c8098e8b65649108e446b332,232.3145051430611,0.023686509210878875,0.0,True
0xc8d7b228fbc3edfc1061084cc17b559522c0fefe,109.28031747762415,0.011263320036485247,0.0,True
0xc8dd1663fbc8adf7662e62a511328c166cba6570,1345.1517923855101,0.13886684504214453,0.0,True
0xd1cf6d8d922ac54e9b0b9e31c91f63aaa0ec295f,13869.47348209134,1.4484768070849658,0.0,True
0xd26a2bd8a59ea00bd836142cc6be9717361a3b51,5065.629900000001,0.5272829581097707,0.0,True
0xd31081829132c25ca4e8625b5b264c4948bc4248,17795.775664188262,1.8642860695269765,0.0,True
0xd8ed4164a7e08c5b58a61598a7534e58e62d1070,5358.795172492708,0.5538262550605073,0.0,True
0xf7867a5065b8dafdae0e85f9ac4bb5f6018c5ad1,25.52940815756965,0.002651789333001988,0.0,True
0xf94eea1d315d32cae8c0b2d7e95b2cc74b54d509,7449.318608956474,0.7746899454253194,0.0,True
0xf9d9bd237948a4d7d6125fa64dae3efd227b0d34,11821.447763164711,1.2149288579555493,0.0,True
0xff5e06600acb2dc49a48a27e0c256a7a2af35a51,156.64384592088953,0.016015982024512748,0.0,True
